"","S12000005","S12000006","S12000008","S12000010","S12000011","S12000013","S12000014","S12000015","S12000017","S12000018","S12000019","S12000020","S12000021","S12000023","S12000024","S12000026","S12000027","S12000028","S12000029","S12000030","S12000033","S12000034","S12000035","S12000036","S12000038","S12000039","S12000040","S12000041","S12000042","S12000044","S12000045","S12000046"
"1",10587,1,4,16,4,1,1658,907,13,4,34,0,5,0,355,2,7,9,95,5450,30,14,52,681,53,24,276,16,56,305,35,522
"2",4,58180,209,8,3,7,11,27,23,6,20,6,72,2,10,101,4,192,149,19,43,16,20,173,41,9,26,4,5,82,13,236
"3",11,317,29356,2,475,1,48,37,8,73,26,6,2836,3,12,6,0,7556,1259,34,38,5,67,105,1210,82,79,10,4,431,64,5058
"4",9,4,4,21726,4,0,75,179,17,4,2000,10,8,1,25,314,1,4,73,62,30,12,10,17387,15,2,454,7,11,84,12,197
"5",23,17,479,1,10729,2,107,42,9,291,7,2,235,4,23,7,1,290,2466,98,43,11,81,360,3777,318,128,4,12,884,238,17792
"6",0,1,0,0,0,11071,1,5,79,26,1,11,2,7,2,0,8,0,2,4,88,17,42,15,3,0,2,0,2,1,0,45
"7",895,9,15,111,21,0,42083,1121,31,13,217,15,12,5,241,21,11,22,449,6187,142,18,59,6164,212,57,3504,9,86,2742,295,3124
"8",612,25,10,181,12,10,1285,118598,121,23,375,96,20,3,3155,33,24,18,188,775,528,113,167,14468,87,20,1801,334,5126,416,36,785
"9",5,11,3,7,8,46,11,38,98246,9,6,1010,10,57,63,7,38,6,18,40,561,138,221,179,20,9,17,23,21,14,9,163
"10",1,14,45,6,97,0,45,36,16,22820,6,5,398,0,4,4,7,55,184,17,42,12,494,85,3152,349,32,4,5,142,65,4235
"11",17,2,5,1289,4,0,104,229,6,1,15543,5,3,1,30,331,1,6,55,51,22,4,16,17386,15,1,727,5,20,96,7,132
"12",4,4,3,3,0,10,1,21,1367,3,0,35179,0,10,14,1,3,8,5,6,1097,1305,83,37,7,3,3,3,11,6,0,31
"13",7,89,4319,10,290,2,44,27,23,1450,16,9,31833,3,16,3,4,3504,492,24,102,23,151,112,3480,225,51,13,6,299,83,5532
"14",0,0,0,1,0,2,0,2,40,1,1,12,0,9958,3,0,14,0,0,0,66,9,15,12,0,0,0,0,3,0,0,6
"15",241,13,2,27,1,2,249,2230,84,4,33,27,4,1,52471,15,5,10,89,1026,224,75,31,1551,78,15,198,643,4703,174,18,491
"16",2,91,4,781,0,3,45,77,16,2,1090,5,3,2,16,40080,2,7,158,43,39,7,14,4111,14,0,203,5,6,52,2,127
"17",0,0,0,0,0,0,1,2,2,1,0,0,0,6,2,1,11446,1,0,0,87,23,2,12,0,0,0,0,3,0,0,3
"18",5,272,3893,3,159,11,18,22,9,90,14,5,2730,2,11,1,8,32843,428,30,45,10,24,114,846,68,42,4,7,235,49,2888
"19",72,195,498,86,1217,12,572,250,36,191,216,17,237,5,63,213,12,343,75034,455,148,32,142,2189,2143,451,1972,13,22,14771,667,31591
"20",1203,10,12,33,25,1,2664,352,26,21,55,4,8,3,711,5,3,12,202,25948,73,14,121,1440,226,280,343,29,153,773,375,2860
"21",0,2,0,1,1,1,7,19,74,0,3,48,1,5,14,2,66,5,6,15,99432,8487,9,77,10,1,1,94,66,4,3,54
"22",1,10,1,4,0,2,19,46,98,1,6,723,4,2,41,2,78,1,8,13,41224,74290,24,100,11,2,10,870,110,6,3,55
"23",2,14,15,2,23,23,22,35,179,401,5,77,35,13,17,3,1,15,73,91,48,20,32016,79,460,1225,23,11,7,62,83,1967
"24",95,42,9,4220,11,4,970,2897,65,17,5186,21,18,8,342,537,7,29,328,726,275,45,50,190743,117,27,5497,31,282,547,63,2094
"25",15,17,248,17,1371,2,145,76,27,2044,19,10,763,2,26,6,12,300,1217,148,96,23,356,324,42570,1388,151,13,18,957,445,21528
"26",9,5,23,5,73,0,62,41,14,277,15,1,67,0,14,1,3,46,404,290,38,7,2643,106,1815,19129,72,6,20,409,784,10474
"27",104,11,27,286,12,1,2056,948,26,16,681,14,6,0,107,59,4,18,670,544,94,24,28,18877,152,40,50100,9,58,1717,79,1749
"28",10,4,2,6,3,0,20,379,25,1,7,34,1,4,1211,0,8,2,7,44,1992,1442,35,136,15,4,32,31534,11386,28,3,59
"29",14,0,1,3,0,2,25,1437,21,0,6,26,4,0,2256,3,1,3,17,84,406,141,20,246,8,3,61,2931,49720,23,6,84
"30",193,68,153,48,220,0,2344,355,49,110,128,12,78,7,95,18,15,160,14103,1283,195,38,112,2497,1617,465,3884,11,56,81470,2403,28034
"31",53,11,69,8,158,3,443,101,9,175,26,7,67,0,43,3,2,65,982,534,63,5,157,581,1447,1344,197,3,27,2502,14809,21116
"32",111,120,774,59,3410,12,848,326,66,1093,77,20,659,4,149,9,22,786,8339,965,208,35,580,2405,10246,4155,951,20,92,7194,4298,183809
