"","W06000001","W06000002","W06000003","W06000004","W06000005","W06000006","W06000008","W06000009","W06000010","W06000011","W06000012","W06000013","W06000014","W06000015","W06000016","W06000018","W06000019","W06000020","W06000021","W06000022","W06000023","W06000024"
"1",19102,6616,761,157,58,37,64,72,47,15,2,0,6,49,1,1,0,1,16,1,21,3
"2",2011,42402,1520,544,194,128,433,109,102,20,2,6,6,80,3,7,0,2,2,8,380,0
"3",417,2373,34284,5407,1048,349,33,10,8,6,2,5,0,41,2,5,0,4,6,4,32,1
"4",46,322,3332,26687,3353,1423,3,0,4,3,2,1,3,29,7,4,0,1,4,4,32,2
"5",39,121,790,2879,43733,4568,12,3,3,9,2,0,4,25,0,2,0,0,0,17,33,0
"6",21,59,269,1322,4242,43158,12,6,5,6,2,2,3,31,2,3,1,5,4,12,164,0
"7",38,300,46,28,28,28,25858,711,1581,87,28,15,16,81,26,6,0,2,15,14,258,3
"8",29,63,6,2,8,8,1232,44322,1717,249,83,34,38,164,38,17,6,16,24,42,63,1
"9",38,111,19,14,14,16,1548,1749,57079,8197,1820,513,114,679,252,70,15,29,86,97,367,80
"10",0,9,11,11,8,7,58,173,4487,76512,6724,2042,309,1848,528,141,73,82,92,252,267,206
"11",4,6,6,11,3,3,19,64,1474,12526,31950,3672,321,1299,723,153,55,63,52,190,848,239
"12",1,2,4,5,4,5,7,54,196,1777,3157,39157,2023,4932,2768,406,51,158,67,498,46,110
"13",2,1,1,2,5,2,3,38,74,324,252,2420,28409,17773,1614,478,35,243,111,897,27,118
"14",5,30,9,14,19,15,38,102,209,872,589,2331,5576,116441,5043,2845,259,1295,725,5767,159,737
"15",10,11,7,15,9,19,32,44,171,714,1002,4004,2350,16086,54403,3336,406,487,306,1339,187,3197
"16",2,4,2,9,9,10,7,35,44,203,274,687,712,11992,3615,37406,1648,2459,814,7418,122,2240
"17",0,75,3,8,6,6,8,6,36,92,215,85,55,783,344,2256,14683,1718,2279,1386,570,910
"18",3,8,2,1,3,6,2,7,12,61,72,174,154,2055,323,1051,707,22281,2459,6064,163,94
"19",0,3,2,3,2,8,6,22,71,62,73,80,86,1754,238,547,739,2289,22094,3985,580,147
"20",0,6,2,6,4,12,11,78,40,120,211,352,513,7216,623,1909,209,3999,1803,39170,40,87
"21",1,234,20,21,40,198,392,44,203,841,731,116,40,375,230,180,347,259,617,131,46961,226
"22",1,4,1,3,1,4,4,12,39,174,171,243,143,1956,2230,1663,536,192,158,303,219,14478
