"","N09000001","N09000002","N09000003","N09000004","N09000005","N09000006","N09000007","N09000008","N09000009","N09000010","N09000011"
"N09000001",85,0,9,0,0,0,0,0,0,0,0
"N09000002",0,18,0,0,0,0,3,0,0,0,0
"N09000003",13,0,343,4,0,0,2,3,0,0,11
"N09000004",0,0,0,0,0,0,0,0,0,0,0
"N09000005",2,0,1,6,34,0,0,0,1,0,0
"N09000006",0,0,0,0,0,24,0,0,0,0,0
"N09000007",0,0,9,0,0,0,44,0,0,0,1
"N09000008",0,0,6,3,0,0,0,37,1,0,0
"N09000009",0,0,0,0,0,0,0,0,24,0,0
"N09000010",0,10,2,0,0,0,0,0,0,48,0
"N09000011",0,0,24,0,0,0,0,0,0,0,43
