"","N09000001","N09000002","N09000003","N09000004","N09000005","N09000006","N09000007","N09000008","N09000009","N09000010","N09000011"
"N09000001",3,0,2,0,0,0,0,0,0,0,0
"N09000002",0,1,0,0,0,0,1,0,0,0,0
"N09000003",2,0,17,1,0,0,1,1,0,0,3
"N09000004",0,0,0,0,0,0,0,0,0,0,0
"N09000005",0,0,1,1,0,0,0,0,0,0,0
"N09000006",0,0,0,0,0,1,0,0,0,0,0
"N09000007",0,0,1,0,0,0,1,0,0,0,1
"N09000008",0,0,1,1,0,0,0,0,0,0,0
"N09000009",0,0,0,0,0,0,0,0,1,0,0
"N09000010",0,1,1,0,0,0,0,0,0,2,0
"N09000011",0,0,2,0,0,0,0,0,0,0,1
