"","N09000001","N09000002","N09000003","N09000004","N09000005","N09000006","N09000007","N09000008","N09000009","N09000010","N09000011"
"N09000001",557,8,60,2,0,0,19,15,0,3,10
"N09000002",5,414,14,0,0,0,19,0,6,2,0
"N09000003",28,12,1793,1,0,0,31,21,5,8,20
"N09000004",2,0,10,257,0,0,0,5,0,0,0
"N09000005",0,4,0,12,349,5,0,0,2,0,0
"N09000006",0,0,0,0,0,183,0,0,0,0,0
"N09000007",16,13,137,0,0,0,460,0,0,0,8
"N09000008",27,0,57,1,0,0,5,340,0,0,0
"N09000009",4,17,8,0,0,8,0,0,190,0,0
"N09000010",0,4,50,0,0,0,5,0,0,335,2
"N09000011",4,1,59,0,0,0,25,2,0,5,568
