"","N09000001","N09000002","N09000003","N09000004","N09000005","N09000006","N09000007","N09000008","N09000009","N09000010","N09000011"
"N09000001",16,1,9,1,0,0,3,2,0,1,1
"N09000002",2,16,4,0,0,0,4,0,0,0,0
"N09000003",5,2,89,1,0,0,7,4,3,2,4
"N09000004",0,0,2,13,0,0,0,0,0,0,0
"N09000005",0,1,0,2,16,1,0,0,0,0,0
"N09000006",0,0,0,0,0,9,0,0,0,0,0
"N09000007",3,2,21,0,0,0,5,0,0,0,3
"N09000008",4,0,8,1,0,0,1,9,0,0,0
"N09000009",0,3,3,0,0,0,0,0,7,0,0
"N09000010",0,0,9,0,0,0,1,0,0,13,0
"N09000011",1,0,9,0,0,0,5,1,0,2,19
