"","N09000001","N09000002","N09000003","N09000004","N09000005","N09000006","N09000007","N09000008","N09000009","N09000010","N09000011"
"N09000001",18,1,10,0,0,0,2,1,0,1,1
"N09000002",1,20,2,0,0,0,1,0,1,1,0
"N09000003",4,1,100,0,0,0,6,2,1,1,3
"N09000004",0,0,1,13,0,0,0,1,0,0,0
"N09000005",0,1,0,2,16,1,0,0,0,0,0
"N09000006",0,0,0,0,0,9,0,0,0,0,0
"N09000007",2,1,20,0,0,0,10,0,0,0,1
"N09000008",3,0,9,0,0,0,1,11,0,0,0
"N09000009",0,2,0,0,0,1,0,0,10,0,0
"N09000010",0,0,5,0,0,0,1,0,0,16,1
"N09000011",0,1,9,0,0,0,3,1,0,1,22
