"","N09000001","N09000002","N09000003","N09000004","N09000005","N09000006","N09000007","N09000008","N09000009","N09000010","N09000011"
"N09000001",33,0,9,0,0,0,0,0,0,0,0
"N09000002",0,140,0,0,0,0,14,0,1,0,0
"N09000003",7,0,341,11,0,0,2,0,2,0,1
"N09000004",3,0,0,166,0,0,0,0,0,0,0
"N09000005",0,0,0,0,59,0,0,0,0,0,0
"N09000006",0,0,0,0,0,31,0,0,0,0,0
"N09000007",2,0,33,0,0,0,256,5,0,3,0
"N09000008",2,0,0,0,0,0,0,165,1,0,0
"N09000009",0,4,0,0,0,0,0,0,95,0,0
"N09000010",3,0,2,0,0,0,0,0,0,66,0
"N09000011",2,0,12,0,0,0,4,0,0,0,140
