"","N09000001","N09000002","N09000003","N09000004","N09000005","N09000006","N09000007","N09000008","N09000009","N09000010","N09000011"
"N09000001",1,0,1,0,0,0,0,0,0,0,0
"N09000002",0,5,0,0,0,0,2,0,1,0,0
"N09000003",1,0,17,2,0,0,1,0,0,0,0
"N09000004",0,0,0,7,0,0,0,0,0,0,0
"N09000005",0,0,0,0,3,0,0,0,0,0,0
"N09000006",0,0,0,0,0,2,0,0,0,0,0
"N09000007",0,0,5,0,0,0,10,1,0,0,0
"N09000008",1,0,0,0,0,0,0,7,1,0,0
"N09000009",0,1,0,0,0,0,0,0,4,0,0
"N09000010",1,0,0,0,0,0,0,0,0,3,0
"N09000011",0,0,1,0,0,0,1,0,0,0,7
