"","N09000001","N09000002","N09000003","N09000004","N09000005","N09000006","N09000007","N09000008","N09000009","N09000010","N09000011"
"N09000001",761,8,94,2,0,0,20,26,0,3,10
"N09000002",5,654,14,0,0,0,36,0,11,2,0
"N09000003",48,12,2674,16,0,0,36,24,7,8,39
"N09000004",5,0,10,472,0,0,0,8,0,0,0
"N09000005",2,4,1,18,468,10,0,0,3,0,0
"N09000006",0,0,0,0,0,252,0,0,0,0,0
"N09000007",18,13,191,0,0,0,872,5,0,3,10
"N09000008",29,0,69,4,0,0,5,624,2,0,0
"N09000009",5,21,8,0,0,8,0,0,332,0,0
"N09000010",3,22,54,0,0,0,5,0,0,464,2
"N09000011",6,8,99,0,0,0,29,2,0,13,830
