"","N09000001","N09000002","N09000003","N09000004","N09000005","N09000006","N09000007","N09000008","N09000009","N09000010","N09000011"
"N09000001",22,1,14,1,0,0,3,3,0,1,1
"N09000002",2,28,4,0,0,0,7,0,2,0,0
"N09000003",8,2,134,4,0,0,9,5,3,2,9
"N09000004",0,0,2,22,0,0,0,1,0,0,0
"N09000005",0,1,1,3,21,2,0,0,0,0,0
"N09000006",0,0,0,0,0,13,0,0,0,0,0
"N09000007",3,2,28,0,0,0,21,1,0,1,5
"N09000008",4,0,10,2,0,0,1,21,1,0,0
"N09000009",1,5,3,0,0,0,0,0,12,0,0
"N09000010",0,2,11,0,0,0,1,0,0,19,0
"N09000011",1,1,15,0,0,0,5,1,0,3,28
