"","N09000001","N09000002","N09000003","N09000004","N09000005","N09000006","N09000007","N09000008","N09000009","N09000010","N09000011"
"N09000001",24,1,15,0,0,0,2,2,0,1,1
"N09000002",1,34,2,0,0,0,3,0,3,1,0
"N09000003",6,1,150,2,0,0,7,3,1,1,6
"N09000004",0,0,1,22,0,0,0,2,0,0,0
"N09000005",0,1,0,3,22,2,0,0,0,0,0
"N09000006",0,0,0,0,0,13,0,0,0,0,0
"N09000007",2,1,28,0,0,0,27,1,0,0,2
"N09000008",4,0,11,0,0,0,1,23,1,0,0
"N09000009",1,3,0,0,0,1,0,0,16,0,0
"N09000010",1,2,6,0,0,0,1,0,0,23,1
"N09000011",0,2,13,0,0,0,4,1,0,2,32
