"","S12000005","S12000006","S12000008","S12000010","S12000011","S12000013","S12000014","S12000015","S12000017","S12000018","S12000019","S12000020","S12000021","S12000023","S12000024","S12000026","S12000027","S12000028","S12000029","S12000030","S12000033","S12000034","S12000035","S12000036","S12000038","S12000039","S12000040","S12000041","S12000042","S12000044","S12000045","S12000046"
"S12000005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000006",0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000008",0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,2
"S12000010",0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000011",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"S12000013",0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000014",0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"S12000015",0,0,0,0,0,0,1,293,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,23,0,0,4
"S12000017",0,0,0,0,0,0,0,0,122,0,0,11,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"S12000018",0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,8
"S12000019",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0
"S12000020",0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000021",0,0,0,0,0,0,0,0,0,2,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000024",0,0,0,0,0,0,1,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
"S12000026",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,37,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"S12000027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,9,0,0,0,0,0,0,8
"S12000029",0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,181,0,0,0,0,0,3,0,0,0,0,4,0,15
"S12000030",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,5,0,0,2,0,0,1,0,3
"S12000033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,6,0,0,0,0,0,0,0,0,0,0
"S12000034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,40,0,0,0,0,0,0,0,0,0,0
"S12000035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000036",0,0,0,5,0,0,0,3,8,0,6,0,0,0,4,0,0,0,0,0,0,0,0,1104,2,0,1,0,0,0,0,5
"S12000038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,125,2,0,0,0,0,1,15
"S12000039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"S12000040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,13,0,0,96,0,0,1,0,3
"S12000041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,44,14,0,0,0
"S12000042",0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,5,379,0,0,0
"S12000044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,151,12,42
"S12000045",1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,14
"S12000046",0,0,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,13,2,0,0,0,1,4,7,0,0,0,16,2,1012
