"","S12000005","S12000006","S12000008","S12000010","S12000011","S12000013","S12000014","S12000015","S12000017","S12000018","S12000019","S12000020","S12000021","S12000023","S12000024","S12000026","S12000027","S12000028","S12000029","S12000030","S12000033","S12000034","S12000035","S12000036","S12000038","S12000039","S12000040","S12000041","S12000042","S12000044","S12000045","S12000046"
"S12000005",294,0,0,0,0,0,6,3,0,0,0,0,0,0,1,0,0,0,9,29,0,0,0,16,0,2,1,0,0,1,0,0
"S12000006",0,637,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,13
"S12000008",0,3,408,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,6,2,0,0,0,0,6,0,33
"S12000010",0,0,0,367,0,0,1,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,1,0,3
"S12000011",0,0,7,0,345,0,9,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,14,9,5,1,0,0,2,0,92
"S12000013",0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000014",4,0,0,0,0,0,689,5,0,0,7,0,0,0,5,0,0,0,5,22,0,0,0,45,0,0,28,0,0,23,1,23
"S12000015",10,0,0,0,0,0,5,1739,0,0,0,0,0,0,45,0,0,0,0,12,0,0,0,83,0,0,7,10,43,1,0,9
"S12000017",0,3,0,0,4,1,0,2,2025,0,0,0,0,9,10,8,0,0,1,0,0,0,5,5,5,0,1,0,0,0,0,2
"S12000018",0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,3,0,41,10,0,0,0,0,0,25
"S12000019",0,0,0,5,0,0,1,1,0,0,462,0,0,0,0,7,0,0,5,0,0,0,0,134,0,0,9,0,0,2,0,10
"S12000020",0,0,0,0,0,0,0,0,22,0,0,278,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0
"S12000021",0,0,20,0,0,0,0,0,0,9,0,0,136,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,12
"S12000023",0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000024",1,0,0,0,4,0,4,11,0,0,0,0,0,0,934,0,0,0,0,9,2,7,0,39,0,0,6,1,78,0,0,7
"S12000026",0,4,0,2,0,0,0,0,0,0,46,0,0,0,0,912,0,0,9,0,0,0,0,76,0,0,0,0,0,1,0,7
"S12000027",0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000028",0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,421,3,0,0,0,0,1,7,0,0,0,0,2,0,12
"S12000029",0,9,2,0,5,0,1,12,0,9,2,0,0,0,4,7,0,11,1496,3,0,0,0,64,9,0,14,2,1,73,7,235
"S12000030",13,0,0,1,0,0,17,2,0,0,0,0,0,0,10,0,0,0,6,523,0,0,0,17,0,17,4,0,0,2,0,54
"S12000033",0,0,0,0,0,0,0,1,11,0,0,4,0,5,9,0,4,0,0,0,1437,85,0,6,0,0,0,2,9,0,0,0
"S12000034",0,1,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,236,1306,0,0,0,0,0,2,0,1,0,0
"S12000035",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,1,0,0,646,0,6,10,0,0,0,0,0,35
"S12000036",10,2,3,74,2,0,10,85,15,0,87,0,0,0,28,12,0,3,3,21,0,0,8,6537,0,0,42,5,8,6,0,37
"S12000038",0,0,0,0,1,0,0,0,0,9,0,0,3,0,0,0,0,10,1,0,0,0,0,4,705,16,0,0,0,6,1,126
"S12000039",0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11,0,12,504,0,0,0,6,2,85
"S12000040",0,0,0,1,0,0,1,22,0,0,21,0,0,0,0,0,0,0,5,1,0,0,0,178,0,0,867,0,2,18,0,19
"S12000041",0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,11,7,0,0,0,0,0,504,42,2,0,3
"S12000042",0,0,0,0,0,0,1,18,0,1,0,0,0,0,54,0,0,0,0,0,3,2,0,44,0,0,5,60,1050,0,0,0
"S12000044",0,0,0,0,0,0,12,0,0,0,12,0,0,0,10,0,0,0,25,1,0,0,0,27,14,5,20,0,0,674,3,89
"S12000045",0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,28,14,0,0,0,21,499,106
"S12000046",0,0,16,10,33,0,38,2,15,4,1,0,9,0,21,0,0,8,65,43,0,0,2,40,90,17,19,4,0,92,45,3619
