"","S12000005","S12000006","S12000008","S12000010","S12000011","S12000013","S12000014","S12000015","S12000017","S12000018","S12000019","S12000020","S12000021","S12000023","S12000024","S12000026","S12000027","S12000028","S12000029","S12000030","S12000033","S12000034","S12000035","S12000036","S12000038","S12000039","S12000040","S12000041","S12000042","S12000044","S12000045","S12000046"
"S12000005",126,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,2,0,0
"S12000006",0,248,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0
"S12000008",0,0,70,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000010",0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"S12000011",0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22
"S12000013",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000014",0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000015",0,0,0,0,0,0,1,515,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,10,0,0,0,0,5
"S12000017",0,0,0,1,0,0,0,0,445,0,0,6,0,0,3,0,0,0,0,5,0,0,3,1,0,0,0,0,0,0,0,0
"S12000018",0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"S12000019",0,0,0,3,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,1,0,0,0,0,0
"S12000020",0,0,0,0,0,0,0,0,1,0,0,195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"S12000021",0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000023",0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000024",0,0,0,5,0,0,11,1,0,0,0,0,0,0,395,0,0,0,0,2,0,0,0,17,0,0,0,0,3,0,0,0
"S12000026",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,178,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"S12000027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000028",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,198,0,0,0,0,0,0,4,0,0,0,0,0,0,2
"S12000029",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,322,0,0,0,0,1,0,0,0,0,0,0,0,0
"S12000030",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,222,0,0,0,3,0,3,1,0,0,0,3,2
"S12000033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,334,5,0,3,0,0,0,1,0,0,3,0
"S12000034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,309,0,0,0,0,0,0,0,0,0,0
"S12000035",0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,171,0,3,0,0,0,0,0,0,0
"S12000036",0,0,0,20,0,0,1,9,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,948,0,0,0,0,0,0,0,5
"S12000038",0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,237,1,0,0,0,0,0,22
"S12000039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3
"S12000040",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,221,0,0,0,0,5
"S12000041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,23,0,0,0
"S12000042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,154,0,0,0
"S12000044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,211,2,9
"S12000045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,191,13
"S12000046",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,3,458
