"","S12000005","S12000006","S12000008","S12000010","S12000011","S12000013","S12000014","S12000015","S12000017","S12000018","S12000019","S12000020","S12000021","S12000023","S12000024","S12000026","S12000027","S12000028","S12000029","S12000030","S12000033","S12000034","S12000035","S12000036","S12000038","S12000039","S12000040","S12000041","S12000042","S12000044","S12000045","S12000046"
"S12000005",444,0,0,0,0,0,7,3,0,0,5,0,0,0,1,0,0,0,9,38,0,0,0,18,0,2,1,0,0,3,0,0
"S12000006",0,1069,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,2,13,0,0,0,0,5,0,0,0,4,0,1,0,13
"S12000008",0,3,612,0,5,0,0,0,0,0,0,0,7,0,0,0,0,10,13,0,0,0,0,6,5,0,0,0,0,6,0,43
"S12000010",0,0,0,600,0,0,1,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,1,0,3
"S12000011",0,0,7,0,528,0,9,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,9,5,1,0,0,2,0,136
"S12000013",0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000014",4,0,0,0,0,0,990,5,0,0,7,0,0,0,5,0,0,0,5,22,0,0,0,45,0,0,28,0,0,23,2,32
"S12000015",10,0,0,0,0,0,7,2830,0,0,0,0,0,0,54,0,0,0,0,13,0,0,0,104,0,0,17,10,72,1,0,18
"S12000017",0,3,0,1,4,1,0,2,2757,0,0,17,0,9,14,8,0,0,1,6,0,0,8,7,5,0,1,0,0,0,0,2
"S12000018",0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,5,0,41,10,0,0,0,4,0,39
"S12000019",0,0,0,8,0,0,1,1,0,0,692,0,0,0,0,19,0,0,5,6,0,0,0,161,0,0,10,0,0,2,0,16
"S12000020",0,0,0,0,0,0,0,0,23,0,0,537,0,0,1,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,5,0
"S12000021",0,0,20,0,0,0,0,0,0,11,0,0,309,0,0,0,0,12,0,0,0,0,0,0,19,0,0,0,0,0,0,12
"S12000023",0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000024",1,0,0,5,4,0,16,12,0,0,0,0,0,0,1515,0,0,0,0,12,2,7,0,56,0,0,6,1,81,1,0,25
"S12000026",0,4,0,2,0,0,0,0,0,0,57,0,0,0,0,1248,0,0,9,0,0,0,0,104,0,0,0,0,0,1,0,7
"S12000027",0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000028",0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,763,3,0,0,0,0,1,20,0,0,0,0,2,0,26
"S12000029",0,9,2,0,11,0,1,12,0,9,2,0,6,0,4,7,0,15,2147,3,0,0,0,65,12,0,14,2,1,82,7,261
"S12000030",13,1,0,1,0,0,20,2,0,0,0,0,0,0,10,0,0,0,12,893,0,0,0,25,0,20,7,0,0,3,3,59
"S12000033",0,0,0,0,0,0,0,1,11,0,0,4,0,5,11,0,4,0,0,0,2350,97,0,9,0,0,0,3,9,0,3,0
"S12000034",0,1,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,263,1812,0,0,0,0,0,2,0,1,0,0
"S12000035",0,8,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,6,1,0,0,817,0,9,10,0,0,0,0,0,35
"S12000036",10,2,3,99,2,0,11,97,23,0,98,0,0,0,32,19,0,3,3,21,0,0,8,9116,2,0,43,5,8,6,0,47
"S12000038",0,0,8,0,3,0,0,0,0,9,0,0,3,0,0,0,0,10,15,0,0,0,0,4,1149,19,0,0,0,6,2,168
"S12000039",0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,11,0,12,573,0,0,0,6,2,89
"S12000040",0,0,0,1,0,0,5,22,0,0,21,0,0,0,3,0,0,0,5,2,0,0,0,209,0,0,1270,0,2,19,0,27
"S12000041",0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,11,7,0,0,0,0,0,790,86,2,0,3
"S12000042",0,0,0,0,0,0,1,24,0,1,0,0,0,0,57,0,0,0,0,0,5,2,0,44,0,0,5,80,1731,1,1,2
"S12000044",0,0,0,0,0,0,12,0,0,0,12,0,0,0,10,0,0,0,34,1,0,0,0,27,14,5,20,0,0,1207,17,152
"S12000045",1,0,0,0,7,0,11,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,12,34,14,0,0,0,21,846,146
"S12000046",0,0,23,10,39,0,41,2,15,6,1,0,9,0,21,0,0,9,86,46,0,0,2,44,102,33,19,4,0,108,50,5446
