"","S12000005","S12000006","S12000008","S12000010","S12000011","S12000013","S12000014","S12000015","S12000017","S12000018","S12000019","S12000020","S12000021","S12000023","S12000024","S12000026","S12000027","S12000028","S12000029","S12000030","S12000033","S12000034","S12000035","S12000036","S12000038","S12000039","S12000040","S12000041","S12000042","S12000044","S12000045","S12000046"
"S12000005",13,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,7,0,0,0,2,0,1,0,0,0,1,0,0
"S12000006",0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,2
"S12000008",0,0,22,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,6
"S12000010",0,0,0,25,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1
"S12000011",0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,1,1,0,0,0,0,0,22
"S12000013",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000014",0,0,0,0,0,0,35,2,0,0,1,0,0,0,1,0,0,0,1,5,0,0,0,8,0,0,3,0,0,4,0,6
"S12000015",2,0,0,0,0,0,0,138,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,19,0,0,2,1,11,0,0,5
"S12000017",0,1,0,0,1,1,0,0,130,0,0,2,0,1,0,1,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0
"S12000018",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,1,0,8
"S12000019",0,0,0,2,0,0,1,1,0,0,15,0,0,0,0,4,0,0,1,2,0,0,0,25,0,0,1,0,0,0,0,3
"S12000020",0,0,0,0,0,0,0,0,4,0,0,27,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
"S12000021",0,0,2,0,0,0,0,0,0,2,0,0,15,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"S12000023",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000024",1,0,0,1,1,0,1,1,0,0,0,0,0,0,63,0,0,0,0,2,1,1,0,7,0,0,1,0,9,0,0,3
"S12000026",0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,46,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,1
"S12000027",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000028",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,0,0,0,0,0,1,3,0,0,0,0,0,0,6
"S12000029",0,1,0,0,2,0,1,2,0,1,1,0,1,0,1,2,0,2,76,1,0,0,0,10,5,0,0,1,0,10,1,37
"S12000030",2,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,2,34,0,0,0,5,0,2,1,0,0,0,1,10
"S12000033",0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,118,18,0,3,0,0,0,0,3,0,1,0
"S12000034",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41,74,0,0,0,0,0,0,0,0,0,0
"S12000035",0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,31,0,1,1,0,0,0,0,0,6
"S12000036",3,0,1,19,0,0,1,16,3,0,18,0,0,0,3,5,0,1,1,4,0,0,1,470,1,0,10,1,2,1,0,8
"S12000038",0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,3,0,0,0,0,1,39,3,0,0,0,2,0,29
"S12000039",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,17,0,0,0,0,1,15
"S12000040",0,0,0,0,0,0,1,2,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,28,0,0,41,0,1,2,0,6
"S12000041",0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,28,17,0,0,1
"S12000042",0,0,0,0,0,0,0,3,0,1,0,0,0,0,11,0,0,0,0,0,2,0,0,4,0,0,1,11,88,0,0,1
"S12000044",0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,5,0,0,0,0,3,3,1,2,0,0,44,2,25
"S12000045",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,8,1,0,0,0,3,21,25
"S12000046",0,0,4,1,6,0,6,1,3,2,1,0,4,0,3,0,0,2,15,8,0,0,1,12,16,7,2,2,0,15,10,263
