"","W06000001","W06000002","W06000003","W06000004","W06000005","W06000006","W06000008","W06000009","W06000010","W06000011","W06000012","W06000013","W06000014","W06000015","W06000016","W06000018","W06000019","W06000020","W06000021","W06000022","W06000023","W06000024"
"W06000001",298,46,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000002",6,681,32,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0
"W06000003",17,33,610,50,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000004",0,5,41,407,39,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000005",0,2,0,9,772,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000006",0,4,10,4,32,746,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"W06000008",0,1,0,0,0,0,340,0,20,9,0,0,0,0,0,0,0,0,0,0,0,0
"W06000009",0,1,0,9,0,0,17,713,7,3,0,0,0,0,0,0,0,0,0,2,0,0
"W06000010",0,0,0,0,0,0,9,6,743,64,1,1,1,12,2,0,0,0,1,2,4,0
"W06000011",0,0,0,0,0,0,0,0,75,1678,60,24,0,35,0,3,0,2,1,2,13,3
"W06000012",0,0,0,0,0,0,0,0,6,95,691,13,0,20,0,0,0,0,1,10,0,8
"W06000013",0,0,0,0,0,0,0,0,0,23,24,728,27,53,22,0,0,0,0,4,0,1
"W06000014",0,0,0,0,0,0,0,0,0,0,0,32,859,135,8,7,0,0,6,8,0,5
"W06000015",0,0,0,0,0,0,0,3,4,32,8,18,37,2870,23,19,1,17,32,63,0,6
"W06000016",0,0,0,0,0,0,0,0,1,19,14,10,23,88,842,29,0,8,0,17,10,8
"W06000018",0,0,0,0,0,0,0,0,0,2,3,0,19,91,31,700,2,1,0,27,0,5
"W06000019",0,0,0,0,0,0,0,2,1,0,1,0,0,6,10,21,203,6,0,9,5,0
"W06000020",0,0,0,0,0,0,0,0,0,0,0,2,0,36,10,0,0,486,10,57,10,10
"W06000021",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,24,670,37,3,1
"W06000022",0,0,0,0,0,0,0,0,1,0,1,3,0,80,4,15,0,26,8,808,0,0
"W06000023",0,5,0,0,0,0,3,2,4,8,2,1,0,2,0,0,7,2,6,1,638,3
"W06000024",0,0,0,0,0,0,0,0,0,0,10,1,0,3,24,17,0,1,0,6,10,278
