"","W06000001","W06000002","W06000003","W06000004","W06000005","W06000006","W06000008","W06000009","W06000010","W06000011","W06000012","W06000013","W06000014","W06000015","W06000016","W06000018","W06000019","W06000020","W06000021","W06000022","W06000023","W06000024"
"W06000001",9,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000002",3,23,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"W06000003",3,4,22,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000004",0,1,5,12,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000005",0,1,0,1,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000006",0,1,3,1,4,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"W06000008",0,1,0,0,0,0,20,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"W06000009",0,0,0,1,0,0,2,33,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"W06000010",0,0,0,0,0,0,1,2,27,9,0,0,0,1,0,0,0,0,0,1,1,0
"W06000011",0,0,0,0,0,0,0,0,11,71,9,2,0,5,0,1,0,1,0,1,1,0
"W06000012",0,0,0,0,0,0,0,0,2,13,19,1,0,2,0,0,0,0,0,2,0,1
"W06000013",0,0,0,0,0,0,0,0,0,3,1,27,4,8,2,0,0,0,0,1,0,1
"W06000014",0,0,0,0,0,0,0,0,0,0,0,6,25,20,1,1,0,0,0,1,0,1
"W06000015",0,0,0,0,0,0,0,1,1,4,1,1,11,144,8,3,0,3,3,8,0,2
"W06000016",0,0,0,0,0,0,0,0,1,3,1,2,2,16,25,2,0,1,0,4,1,4
"W06000018",0,0,0,0,0,0,0,0,0,1,1,0,4,15,2,15,1,1,0,4,0,2
"W06000019",0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,4,2,0,1,1,0
"W06000020",0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,13,1,7,1,1
"W06000021",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,22,4,2,0
"W06000022",0,0,0,0,0,0,0,0,0,0,0,1,0,11,2,1,0,2,2,33,0,0
"W06000023",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,25,1
"W06000024",0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,2,0,1,0,0,1,6
