"","W06000001","W06000002","W06000003","W06000004","W06000005","W06000006","W06000008","W06000009","W06000010","W06000011","W06000012","W06000013","W06000014","W06000015","W06000016","W06000018","W06000019","W06000020","W06000021","W06000022","W06000023","W06000024"
"W06000001",10,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000002",0,28,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"W06000003",2,6,29,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000004",0,0,6,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000005",0,1,0,2,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000006",0,1,1,0,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000008",0,0,0,0,0,0,22,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"W06000009",0,0,0,1,0,0,2,34,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"W06000010",0,0,0,0,0,0,2,2,31,7,0,0,0,2,0,0,0,0,0,0,1,0
"W06000011",0,0,0,0,0,0,0,0,7,81,9,2,0,4,0,0,0,1,0,0,3,0
"W06000012",0,0,0,0,0,0,0,0,0,13,21,3,0,1,0,0,0,0,0,2,0,1
"W06000013",0,0,0,0,0,0,0,0,0,3,3,28,5,6,2,0,0,0,0,1,0,0
"W06000014",0,0,0,0,0,0,0,0,0,0,0,6,28,19,1,1,0,0,1,1,0,1
"W06000015",0,0,0,0,0,0,0,1,0,4,0,1,6,161,6,3,0,1,2,8,0,1
"W06000016",0,0,0,0,0,0,0,0,0,2,1,1,3,9,35,3,0,1,0,3,2,3
"W06000018",0,0,0,0,0,0,0,0,0,1,1,0,3,10,4,21,0,1,0,6,0,1
"W06000019",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,5,1,0,1,1,0
"W06000020",0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,16,1,5,1,1
"W06000021",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,23,4,0,0
"W06000022",0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,4,1,37,0,0
"W06000023",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0,26,0
"W06000024",0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,0,0,0,1,1,7
