"","W06000001","W06000002","W06000003","W06000004","W06000005","W06000006","W06000008","W06000009","W06000010","W06000011","W06000012","W06000013","W06000014","W06000015","W06000016","W06000018","W06000019","W06000020","W06000021","W06000022","W06000023","W06000024"
"W06000001",82,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000002",0,262,5,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"W06000003",0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000004",0,0,0,182,2,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0
"W06000005",0,10,8,1,308,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000006",0,0,0,3,4,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000008",0,0,0,0,0,0,151,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000009",0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000010",0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,6,0
"W06000011",0,0,0,0,0,0,0,7,2,345,1,0,0,0,0,0,0,0,0,0,0,0
"W06000012",0,0,0,0,0,0,0,0,0,4,202,2,0,0,0,0,0,0,0,0,1,0
"W06000013",0,0,0,0,0,0,3,0,6,2,3,148,1,4,0,0,0,0,0,0,0,0
"W06000014",0,0,0,0,0,0,0,0,0,0,0,1,268,1,0,0,0,0,0,2,0,0
"W06000015",0,0,0,0,0,0,0,0,6,0,0,3,9,602,0,0,0,0,0,0,0,0
"W06000016",0,0,0,0,0,0,0,0,0,0,0,0,2,12,295,0,0,0,0,0,0,2
"W06000018",0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,261,0,0,0,0,0,2
"W06000019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
"W06000020",0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,167,0,3,0,0
"W06000021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180,3,0,0
"W06000022",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,145,0,0
"W06000023",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,241,0
"W06000024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
