"","W06000001","W06000002","W06000003","W06000004","W06000005","W06000006","W06000008","W06000009","W06000010","W06000011","W06000012","W06000013","W06000014","W06000015","W06000016","W06000018","W06000019","W06000020","W06000021","W06000022","W06000023","W06000024"
"W06000001",436,58,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000002",7,1128,39,4,3,7,15,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0
"W06000003",17,34,964,57,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000004",0,5,51,744,41,19,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0
"W06000005",0,12,8,10,1108,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000006",0,4,10,7,43,1121,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"W06000008",0,1,0,0,0,0,743,0,23,14,0,0,0,0,0,0,0,0,0,0,0,0
"W06000009",0,1,0,9,0,0,17,1030,17,5,0,0,0,0,0,0,0,0,0,2,0,0
"W06000010",0,0,0,0,0,0,28,6,1302,85,12,1,1,12,2,0,0,0,1,2,10,0
"W06000011",0,0,0,0,0,0,0,7,80,2554,74,24,0,35,0,3,1,2,4,2,16,3
"W06000012",0,0,0,0,0,0,0,0,6,101,1058,15,0,20,0,0,0,0,1,10,4,8
"W06000013",0,0,0,0,0,0,3,0,6,25,27,1023,34,58,22,0,0,0,0,4,0,1
"W06000014",0,0,0,0,0,0,0,0,0,0,0,44,1313,140,9,7,0,0,6,10,0,5
"W06000015",0,0,0,0,0,0,0,3,10,32,8,21,47,4459,37,19,1,17,37,64,0,6
"W06000016",0,5,0,0,0,0,0,0,1,19,14,10,25,113,1410,29,0,8,0,17,12,11
"W06000018",0,0,0,0,0,0,0,0,12,2,3,0,24,110,33,1108,2,1,0,37,0,7
"W06000019",0,0,0,0,0,0,0,2,1,0,1,0,0,6,10,21,248,6,0,9,5,0
"W06000020",0,0,0,0,0,0,0,0,12,0,0,2,0,37,10,0,0,687,12,60,10,10
"W06000021",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,25,950,44,3,1
"W06000022",0,0,0,0,0,0,0,0,1,2,1,3,1,90,4,17,0,27,16,1046,0,0
"W06000023",0,5,0,0,0,0,3,2,4,8,2,1,0,3,0,3,7,2,6,1,917,3
"W06000024",0,0,0,0,0,0,0,0,0,0,10,1,0,3,24,24,0,1,0,6,10,346
