"","W06000001","W06000002","W06000003","W06000004","W06000005","W06000006","W06000008","W06000009","W06000010","W06000011","W06000012","W06000013","W06000014","W06000015","W06000016","W06000018","W06000019","W06000020","W06000021","W06000022","W06000023","W06000024"
"W06000001",12,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000002",4,43,5,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"W06000003",3,5,43,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000004",0,1,6,25,6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"W06000005",0,2,1,1,38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000006",0,1,3,2,6,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"W06000008",0,1,0,0,0,0,42,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
"W06000009",0,0,0,1,0,0,2,49,2,3,0,0,0,0,0,0,0,0,0,0,0,0
"W06000010",0,0,0,0,0,0,3,2,49,11,2,0,0,1,0,0,0,0,0,1,2,0
"W06000011",0,0,0,0,0,0,0,1,13,114,15,2,0,5,0,1,0,1,0,1,2,0
"W06000012",0,0,0,0,0,0,0,0,2,17,35,1,0,2,0,0,0,0,0,2,1,1
"W06000013",0,0,0,0,0,0,1,0,0,4,1,40,7,10,2,0,0,0,0,1,0,1
"W06000014",0,0,0,0,0,0,0,0,0,0,0,8,45,22,2,1,0,0,0,1,0,1
"W06000015",0,0,0,0,0,0,0,1,2,4,1,1,15,236,11,3,0,3,4,8,0,2
"W06000016",0,1,0,0,0,0,0,0,1,3,1,2,3,22,52,2,0,1,0,4,1,5
"W06000018",0,0,0,0,0,0,0,0,1,1,1,0,5,19,2,33,1,1,0,6,0,3
"W06000019",0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,7,2,0,1,1,0
"W06000020",0,0,0,0,0,0,0,0,1,0,0,1,0,6,1,0,0,23,2,8,1,1
"W06000021",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,5,31,6,2,0
"W06000022",0,0,0,0,0,0,0,0,0,1,0,1,0,12,2,2,0,2,3,42,0,0
"W06000023",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,41,1
"W06000024",0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,3,0,1,0,0,1,11
