"","W06000001","W06000002","W06000003","W06000004","W06000005","W06000006","W06000008","W06000009","W06000010","W06000011","W06000012","W06000013","W06000014","W06000015","W06000016","W06000018","W06000019","W06000020","W06000021","W06000022","W06000023","W06000024"
"W06000001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000002",0,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000003",0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000004",0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000005",0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000006",0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000008",0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000009",0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000010",0,0,0,0,0,0,8,0,122,14,0,0,0,0,0,0,0,0,0,0,0,0
"W06000011",0,0,0,0,0,0,0,0,0,122,9,0,0,0,0,0,1,0,3,0,3,0
"W06000012",0,0,0,0,0,0,0,0,0,1,149,0,0,0,0,0,0,0,0,0,3,0
"W06000013",0,0,0,0,0,0,0,0,0,0,0,50,4,0,0,0,0,0,0,0,0,0
"W06000014",0,0,0,0,0,0,0,0,0,0,0,3,73,0,1,0,0,0,0,0,0,0
"W06000015",0,0,0,0,0,0,0,0,0,0,0,0,1,329,0,0,0,0,0,0,0,0
"W06000016",0,0,0,0,0,0,0,0,0,0,0,0,0,13,152,0,0,0,0,0,0,0
"W06000018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,10,0,0
"W06000019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"W06000020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,0,0
"W06000021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0
"W06000022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,58,0,0
"W06000023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0
"W06000024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,57
