"data",".variable","median","lower","upper"
"BBC Total (UK)","tau",1.06889427621682,1.01883736901388,1.11529064356374
"BBC Total (UK)","rho",29.6347536590193,29.1148803333229,30.155257336682
"BBC Total (UK)","delta",-0.379625097659205,-0.426740553672173,-0.333528069245674
"BBC Total (UK)","phi",0.630637229046951,0.592198047909613,0.669652052343264
"Census (E)","tau",1.54949051023963,1.53201909251836,1.56747855750087
"Census (E)","rho",54.4771802071609,54.2456016763992,54.7139136785226
"Census (E)","delta",-0.163722960589211,-0.18303027763819,-0.143698676840806
"Census (E)","phi",0.385834681034934,0.382506179673439,0.389322490089025
"BBC Total (E)","tau",1.00468214900642,0.95333117708713,1.05706947651977
"BBC Total (E)","rho",26.3131207702851,25.8395564060765,26.7902204705975
"BBC Total (E)","delta",-0.35150081984365,-0.398553004444786,-0.30525312621557
"BBC Total (E)","phi",0.685444519948558,0.642978816853943,0.733336151268208
"Census (S)","tau",1.61160966842435,1.50944005638728,1.70226391725706
"Census (S)","rho",54.967312637634,52.2955957758121,58.0073068030893
"Census (S)","delta",-0.866224821753959,-0.9221264469605,-0.809088781534639
"Census (S)","phi",0.468241784610948,0.431415494138543,0.507319996376084
"BBC Total (S)","tau",1.27861104772765,1.13385241247781,1.42119936650603
"BBC Total (S)","rho",23.3633778755677,21.2086927903259,25.9052939146485
"BBC Total (S)","delta",-0.560986136216992,-0.721942591108456,-0.391245374281707
"BBC Total (S)","phi",1.92464956219983,1.34162790835072,2.86715478252138
"Census (W)","tau",1.52936848488274,1.35616844861117,1.6876606342241
"Census (W)","rho",24.1674777967109,23.5442112587518,24.8407052761155
"Census (W)","delta",-0.410515625487276,-0.49483331498023,-0.326243757052601
"Census (W)","phi",1.17950724768265,1.03205065425168,1.3380056887303
"BBC Total (W)","tau",1.26564606674428,0.984023073402288,1.54065245531967
"BBC Total (W)","rho",20.5891176751583,17.9226174915972,23.8945450481526
"BBC Total (W)","delta",-0.5855956706286,-0.788744676194526,-0.37847639481218
"BBC Total (W)","phi",3.48326260663251,2.11200206410662,4.90617811021647
"Census (NI)","tau",0.463037407297853,0.135020269072399,0.787059282133231
"Census (NI)","rho",18.186890959161,17.2352559430025,19.2737549391563
"Census (NI)","delta",-0.570772089548546,-0.70007639877838,-0.444525281317476
"Census (NI)","phi",3.7188906320016,2.84769325188234,4.72172991714026
"BBC Total (NI)","tau",2.01800767373722,1.38741570175642,2.68175445560192
"BBC Total (NI)","rho",18.0820018549959,14.1636016839294,24.8114150981243
"BBC Total (NI)","delta",0.187285611310604,-0.179180871556034,0.60442204350331
"BBC Total (NI)","phi",4.03175637218703,2.21294077042481,4.95643200479987
