"data",".variable","median","lower","upper"
"BBC Total (UK)","tau",0.972896586406083,0.931477578044494,1.01270171385363
"BBC Total (UK)","rho",2.46419107668666,2.20796416288806,2.72020699847091
"BBC Total (UK)","alpha",2.95885901039254,2.89161820783833,3.02751579881406
"BBC Total (UK)","delta",-0.340734799721587,-0.365205383634247,-0.314652205582641
"BBC Total (UK)","phi",1.90365057091543,1.7557431176603,2.06675492580701
"BBC Under 18 (UK)","tau",0.869824338045926,0.710417482446853,1.02843194043433
"BBC Under 18 (UK)","rho",2.24085958865949,1.53811834803047,2.99230359083902
"BBC Under 18 (UK)","alpha",3.85192563618106,3.48492159172622,4.27686605596169
"BBC Under 18 (UK)","delta",-0.408772493794154,-0.5107230807364,-0.310381224011262
"BBC Under 18 (UK)","phi",4.47346416101318,3.13514189950516,4.97768666222263
"BBC Education (UK)","tau",1.19417108841556,1.07984898785138,1.31390810626348
"BBC Education (UK)","rho",2.23690788615261,1.53431608238555,3.04327617943219
"BBC Education (UK)","alpha",2.82431844162776,2.63629502945576,3.04597202463707
"BBC Education (UK)","delta",-0.284331224429625,-0.369028853133933,-0.198298394622588
"BBC Education (UK)","phi",2.96588425746765,1.90760045999805,4.70343535993502
"BBC 18-30 (UK)","tau",1.0458089258324,0.976579466855228,1.11551944217875
"BBC 18-30 (UK)","rho",2.77490933211666,2.31991308261077,3.27882846155649
"BBC 18-30 (UK)","alpha",2.99692914314703,2.87238183211869,3.14280939814013
"BBC 18-30 (UK)","delta",-0.34235350291701,-0.392233858273661,-0.292333027822294
"BBC 18-30 (UK)","phi",2.42498951134871,2.01400675643852,2.97971357175806
"BBC Employed (UK)","tau",0.988405308251697,0.944751588798002,1.03218621912156
"BBC Employed (UK)","rho",2.81373050404427,2.52977021754012,3.13050927572665
"BBC Employed (UK)","alpha",3.00474456323174,2.9295555565474,3.08409872032832
"BBC Employed (UK)","delta",-0.339817275400992,-0.368962385465809,-0.312216272624609
"BBC Employed (UK)","phi",2.08536427649009,1.89077897651938,2.29929378717082
"BBC 30-60 (UK)","tau",0.978939141112303,0.93289111099274,1.0225142264797
"BBC 30-60 (UK)","rho",2.70593995051066,2.3928960992865,3.0224083539223
"BBC 30-60 (UK)","alpha",2.99640428836022,2.91834919618081,3.07939569893275
"BBC 30-60 (UK)","delta",-0.333999036461995,-0.363394076858674,-0.303738482587103
"BBC 30-60 (UK)","phi",2.13966867226485,1.92964752201595,2.387918165877
"BBC NEET (UK)","tau",0.737500191515292,0.633835731012312,0.836579555035183
"BBC NEET (UK)","rho",1.94955957131249,1.44424508526486,2.50469284923302
"BBC NEET (UK)","alpha",2.97686846540405,2.81920213709555,3.15492083273148
"BBC NEET (UK)","delta",-0.454938013558183,-0.529371856206308,-0.384131948285959
"BBC NEET (UK)","phi",3.2712244409782,2.27765217770362,4.69027532369993
"BBC 60-100 (UK)","tau",0.777567057423221,0.676102623064449,0.876725443465416
"BBC 60-100 (UK)","rho",2.69772767569626,2.02797243200434,3.45574923963656
"BBC 60-100 (UK)","alpha",2.99569789701115,2.80974282093015,3.21255441795682
"BBC 60-100 (UK)","delta",-0.473542026418527,-0.553455480876581,-0.399750152716618
"BBC 60-100 (UK)","phi",3.58677958883971,2.35027045638748,4.9036192232983
