"data",".variable","median","lower","upper"
"BBC Total (UK)","tau",0.972896586406083,0.931477578044494,1.01270171385363
"BBC Total (UK)","rho",2.46419107668666,2.20796416288806,2.72020699847091
"BBC Total (UK)","alpha",2.95885901039254,2.89161820783833,3.02751579881406
"BBC Total (UK)","delta",-0.340734799721587,-0.365205383634247,-0.314652205582641
"BBC Total (UK)","phi",1.90365057091543,1.7557431176603,2.06675492580701
"Census (E)","tau",1.02237961395764,1.00451434744639,1.03993129168998
"Census (E)","rho",1.10313598219464,1.03347857962236,1.1744638000378
"Census (E)","alpha",2.59841347468479,2.58634239619721,2.61055960061867
"Census (E)","delta",-0.1524707652309,-0.159216880979671,-0.14576267698826
"Census (E)","phi",0.706729236599952,0.699651025738582,0.71384058363803
"BBC Total (E)","tau",0.914866916798138,0.871020740040075,0.957820321786321
"BBC Total (E)","rho",2.60663853431953,2.3355378546163,2.89575107819594
"BBC Total (E)","alpha",3.00862379941125,2.93242094022869,3.08684422616414
"BBC Total (E)","delta",-0.330743925231085,-0.357819623150984,-0.30476090788757
"BBC Total (E)","phi",1.75204683717846,1.61561849949716,1.90128312436161
"Census (S)","tau",1.36826185599715,1.27585739292301,1.4616306146737
"Census (S)","rho",3.51407449416219,2.25136574067004,4.89428539783257
"Census (S)","alpha",3.45066483989299,3.21033559878959,3.71334990847193
"Census (S)","delta",-0.67873015378807,-0.720363899254894,-0.637537692180803
"Census (S)","phi",0.843938041954423,0.770617670068894,0.922443387546207
"BBC Total (S)","tau",1.2615203980991,1.11463679426363,1.39922037975955
"BBC Total (S)","rho",11.670256777169,7.26412586994469,15.8986730729316
"BBC Total (S)","alpha",5.60813634292496,3.78764239737918,9.00325995216036
"BBC Total (S)","delta",-0.499530298764399,-0.648151756396517,-0.353685763681019
"BBC Total (S)","phi",2.10442683351049,1.4545164718754,3.14167911600062
"Census (W)","tau",1.40531880835154,1.26018088664221,1.55072681044492
"Census (W)","rho",4.34170303037579,2.88853012049378,6.00450532815717
"Census (W)","alpha",4.10903863370979,3.70328485690684,4.64187501340238
"Census (W)","delta",-0.428892995068797,-0.476040992773963,-0.380881776608082
"Census (W)","phi",1.70667655088843,1.49189798005963,1.94626555041555
"BBC Total (W)","tau",1.27354108598812,0.997457082384451,1.54687032179928
"BBC Total (W)","rho",8.20847849419787,3.59655510704248,13.3149895163219
"BBC Total (W)","alpha",4.57476979065941,3.02234023963959,8.14429409409268
"BBC Total (W)","delta",-0.58246798181807,-0.753207702905556,-0.411997674325916
"BBC Total (W)","phi",3.95930680848375,2.53294061742746,4.94488329745263
"Census (NI)","tau",0.453217137161029,0.151160254556061,0.73568363179961
"Census (NI)","rho",10.350315418332,7.77427293782983,12.2392408094087
"Census (NI)","alpha",7.86687836317052,5.63429348777276,9.88103277114054
"Census (NI)","delta",-0.554167715455216,-0.659686918803095,-0.446428947148718
"Census (NI)","phi",4.01691099072498,3.08681717235098,4.87959503286166
"BBC Total (NI)","tau",1.98396033395334,1.28953746368956,2.67322892674073
"BBC Total (NI)","rho",11.5160562215038,3.86512694417518,18.4766792303341
"BBC Total (NI)","alpha",5.73933967851199,2.15150426225733,9.71849765667544
"BBC Total (NI)","delta",0.23235828894126,-0.136127897760804,0.675527366041714
"BBC Total (NI)","phi",4.2141691129928,2.45253026728253,4.96973512789503
