"data",".variable","median","lower","upper"
"BBC Total (UK)","tau",0.933294416810517,0.892297914744071,0.97392324962322
"BBC Total (UK)","rho",2.38999102608573,2.36798016127831,2.41146685446863
"BBC Total (UK)","delta",-0.287808778665483,-0.309662750911737,-0.266867353321392
"BBC Total (UK)","phi",1.6247312194251,1.50315392591226,1.75509661716648
"BBC Under 18 (UK)","tau",0.861832320921884,0.705155982534416,1.01313117303515
"BBC Under 18 (UK)","rho",2.88822158064401,2.77906444515701,3.00162049859171
"BBC Under 18 (UK)","delta",-0.355183861110426,-0.448631403303842,-0.268926435457404
"BBC Under 18 (UK)","phi",4.10917272279523,2.58829344813621,4.96162205647413
"BBC Education (UK)","tau",1.19138075585621,1.07610963335407,1.30719420392749
"BBC Education (UK)","rho",2.30332329000017,2.23398156694663,2.37507466706605
"BBC Education (UK)","delta",-0.262505350212099,-0.344309135511628,-0.184678898438163
"BBC Education (UK)","phi",2.27846068862745,1.58400711554883,3.55181354757675
"BBC 18-30 (UK)","tau",1.01472175860414,0.942619395133297,1.09031657971833
"BBC 18-30 (UK)","rho",2.32671877140757,2.28767460625906,2.36885885804023
"BBC 18-30 (UK)","delta",-0.293590247518761,-0.3385245843207,-0.24918790844026
"BBC 18-30 (UK)","phi",1.89189459758939,1.60912707044471,2.25123260374805
"BBC Employed (UK)","tau",0.947250645478405,0.904229572306627,0.990344068325865
"BBC Employed (UK)","rho",2.36337622463535,2.34003349127279,2.38639622128348
"BBC Employed (UK)","delta",-0.281663215091561,-0.306875638309067,-0.255893238927358
"BBC Employed (UK)","phi",1.72140180699888,1.58188114452859,1.87764654895742
"BBC 30-60 (UK)","tau",0.94273836115619,0.896547590905394,0.989419327386022
"BBC 30-60 (UK)","rho",2.37660931234738,2.35080140201731,2.40238854251021
"BBC 30-60 (UK)","delta",-0.274096044420724,-0.300153237867996,-0.246845064971481
"BBC 30-60 (UK)","phi",1.74687116195638,1.59111048394039,1.92193656160305
"BBC NEET (UK)","tau",0.731546416183841,0.630218013085196,0.828762210517945
"BBC NEET (UK)","rho",2.46873295375996,2.40726994394806,2.53553982398796
"BBC NEET (UK)","delta",-0.406706323690338,-0.471295870620729,-0.34136232038449
"BBC NEET (UK)","phi",2.44179970875814,1.76823754861892,3.62424392482839
"BBC 60-100 (UK)","tau",0.769411601166578,0.663513447664417,0.870798144152394
"BBC 60-100 (UK)","rho",2.37021713034889,2.30751422616668,2.43589365335781
"BBC 60-100 (UK)","delta",-0.426542574705927,-0.496463111407435,-0.356302451603676
"BBC 60-100 (UK)","phi",2.59825731298166,1.82889620210504,4.01459858235269
