"data",".variable","median","lower","upper"
"BBC Total (UK)","log10(gamma)",-6.73802170461809,-6.74671097432266,-6.72977648805802
"BBC Total (UK)","phi",0.353930443507803,0.336436261618994,0.372100453547249
"BBC Under 18 (UK)","log10(gamma)",-6.34487811795163,-6.3779344795724,-6.31233572926537
"BBC Under 18 (UK)","phi",0.876162952146441,0.623400966005355,1.29611530033216
"BBC Education (UK)","log10(gamma)",-6.64773337612975,-6.67411506428667,-6.6225076351392
"BBC Education (UK)","phi",0.457903937960672,0.369154686762613,0.568286470353304
"BBC 18-30 (UK)","log10(gamma)",-6.65913765735829,-6.67467100964238,-6.64408939817787
"BBC 18-30 (UK)","phi",0.488326079674751,0.439803458730609,0.545962146291839
"BBC Employed (UK)","log10(gamma)",-6.72543801310526,-6.73507047737269,-6.7163518030329
"BBC Employed (UK)","phi",0.402118845094106,0.380936386380038,0.426614538442356
"BBC 30-60 (UK)","log10(gamma)",-6.71564022121974,-6.72540324329985,-6.7055775898095
"BBC 30-60 (UK)","phi",0.397483188676493,0.373941303867175,0.422755036118788
"BBC NEET (UK)","log10(gamma)",-6.61525256873786,-6.63848792218005,-6.59217167556661
"BBC NEET (UK)","phi",0.428080228810656,0.356226206061641,0.514369369849788
"BBC 60-100 (UK)","log10(gamma)",-6.6466794454334,-6.66990352254645,-6.62355921036487
"BBC 60-100 (UK)","phi",0.554188491198449,0.448449574258938,0.70064154374368
