"data",".variable","median","lower","upper"
"BBC Total (UK)","log10(gamma)",-6.74551783025432,-6.75423369252992,-6.7374912627232
"BBC Total (UK)","phi",0.359043926646729,0.341356269813809,0.376928078044652
"Census (E)","log10(gamma)",-6.88506150127833,-6.8864428288798,-6.8836764017466
"Census (E)","phi",0.423931799783593,0.4202897648666,0.427615941525345
"BBC Total (E)","log10(gamma)",-6.70830999646505,-6.71681253599409,-6.69958670729159
"BBC Total (E)","phi",0.404327891407101,0.384922870590194,0.426178855907497
"Census (S)","log10(gamma)",-6.01884944834635,-6.03705217376694,-6.00180840288618
"Census (S)","phi",0.561504675242765,0.515341495250966,0.610547337817352
"BBC Total (S)","log10(gamma)",-5.99032238570027,-6.03433507820187,-5.94941977807999
"BBC Total (S)","phi",1.12572846806458,0.849474398356879,1.51131947256728
"Census (W)","log10(gamma)",-5.69919686440126,-5.72049589642597,-5.67963487250866
"Census (W)","phi",0.588353165154823,0.524023896343326,0.658537459810565
"BBC Total (W)","log10(gamma)",-5.72224278216015,-5.77605943709708,-5.67152302238642
"BBC Total (W)","phi",1.80551780021488,1.21528247610073,2.8067166805796
"Census (NI)","log10(gamma)",-5.66232392385237,-5.71056017362722,-5.62262952576975
"Census (NI)","phi",1.76986268418668,1.36678645797926,2.24630993096416
"BBC Total (NI)","log10(gamma)",-5.59886950282153,-5.68506838073518,-5.51827714172137
"BBC Total (NI)","phi",9.59063753916844,3.00445762666826,58.7896757793664
