"data",".variable","median","lower","upper"
"BBC Total (UK)","tau",0.00641263992200907,0.00621283629102617,0.00659152380738057
"BBC Total (UK)","phi",0.0455733520932517,0.0439768559386632,0.0473316966816274
"BBC Under 18 (UK)","tau",0.00690389198121015,0.00657119236998767,0.00721339834714704
"BBC Under 18 (UK)","phi",0.243862915537077,0.17201296647832,0.356829891756651
"BBC Education (UK)","tau",0.00654825834975822,0.00617211330583089,0.00686430800610393
"BBC Education (UK)","phi",0.0952642993839538,0.0759061878075921,0.119375508158944
"BBC 18-30 (UK)","tau",0.00638681902976596,0.00610370887394803,0.00663712217429746
"BBC 18-30 (UK)","phi",0.0500527164176127,0.0460101875985837,0.0544660211381676
"BBC Employed (UK)","tau",0.00634136075152638,0.00614069736978156,0.00653108913925404
"BBC Employed (UK)","phi",0.0470459509048041,0.0451445113837292,0.0490379657117225
"BBC 30-60 (UK)","tau",0.00637712073019721,0.00615783916901393,0.00657458368964527
"BBC 30-60 (UK)","phi",0.0458693804242377,0.0437607135986697,0.0479854711575913
"BBC NEET (UK)","tau",0.00636693122032231,0.00599828127344242,0.00668635791149674
"BBC NEET (UK)","phi",0.0619922214755969,0.0521479764158987,0.073273192907407
"BBC 60-100 (UK)","tau",0.00605466947449863,0.00564345922995013,0.00642388087762845
"BBC 60-100 (UK)","phi",0.0777162367221634,0.0647899554152785,0.0946055714262372
