"data",".variable","median","lower","upper"
"BBC Total (UK)","tau",0.00641263992200907,0.00621283629102617,0.00659152380738057
"BBC Total (UK)","phi",0.0455733520932517,0.0439768559386632,0.0473316966816274
"Census (E)","tau",0.00680868131485112,0.00674556075505925,0.00687050111917119
"Census (E)","phi",0.199651982125014,0.198099741352083,0.20119124874186
"BBC Total (E)","tau",0.00608334588701373,0.00587059538900889,0.00628246590548484
"BBC Total (E)","phi",0.0578267828443038,0.0556499830001482,0.0600803732912965
"Census (S)","tau",0.0035705553022893,0.00298055068681998,0.0040384481911797
"Census (S)","phi",0.280831403137268,0.259926527322219,0.302969618997077
"BBC Total (S)","tau",0.00336447068975545,0.00255366878061945,0.00404932086119753
"BBC Total (S)","phi",0.220124331060498,0.181475991123938,0.26672519781557
"Census (W)","tau",0.00282610476802935,0.00202494124762493,0.00347921983629239
"Census (W)","phi",0.298020136942058,0.267537045231638,0.331128575371324
"BBC Total (W)","tau",0.00247915375650049,0.00152333281916388,0.0032802949545346
"BBC Total (W)","phi",0.304815948113701,0.235737122684422,0.396670566797388
"Census (NI)","tau",0.00195548217210885,0.00110778509138236,0.00262308852757521
"Census (NI)","phi",0.851492184403254,0.666737134960134,1.05943513730954
"BBC Total (NI)","tau",0.00215310588511759,0.00105931228374511,0.00312676985747946
"BBC Total (NI)","phi",0.631932261007363,0.388533272318224,1.10000391394004
