lad17cd,region,county,name,all,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
K02000001,UNITED KINGDOM,,,63182178,795494,788503,782796,783309,763851,744533,711257,703157,678397,679271,697661,720235,737495,749622,764313,774892,774598,794343,809086,843533,873320,851730,855779,868334,848035,865400,863125,854513,857727,865575,879794,867735,822889,776346,778685,788155,808278,825915,865936,906193,920153,905642,929621,928293,941926,942723,951995,935254,919357,893771,870027,830540,819615,802784,771488,741677,726586,729602,713259,702954,707530,728618,746424,809603,815799,628068,661770,621753,589575,516314,495504,513591,502573,485410,465667,442201,421694,392946,381638,367540,354655,325009,298282,268878,252072,228043,202748,181791,160125,145636,128843,96489,58732,44441,39920,30888,24663,17484,12077,7839,12268
K03000001,GREAT BRITAIN,,,61371315,770244,763711,757686,758163,739767,721544,688851,680890,656717,657326,675515,696928,713241,725195,739413,750272,748866,768635,783790,818648,848544,826939,830644,842812,822246,840130,837947,829808,833292,841064,854398,842588,799294,753378,755952,764965,784624,801465,840481,880682,893973,879674,903224,901542,915374,915966,924749,908727,893461,868552,845054,806776,796360,779701,749630,720514,706581,709596,693812,684303,688626,709643,727642,790824,796949,611065,644454,604576,573212,502052,482488,500564,489449,473242,453523,431043,411091,383049,371983,358495,346022,317185,291071,262316,245936,222756,197956,177485,156480,142501,126158,94490,57270,43334,39109,30213,24149,17133,11833,7684,12040
K04000001,ENGLAND AND WALES,,,56075912,711529,704155,698777,699399,682890,666320,633615,627104,604392,604280,620448,640159,654585,665224,678261,687994,686721,704514,715660,744496,773709,754938,757675,769029,751894,769842,768701,761995,764950,771121,785196,775159,735101,692887,695572,701356,720269,735068,770322,805146,817411,803200,823637,820589,834252,834652,840373,826126,810907,788468,766207,731178,720700,705746,677863,651324,639349,643468,629030,620744,624630,644934,661303,720226,726069,557704,589394,550564,521717,454782,437333,454396,444812,429945,412186,391460,373259,347838,338837,326153,315957,290023,265901,240647,225477,204130,182058,163304,144456,131723,116719,87515,52939,40013,36269,27972,22324,15959,10976,7145,11186
E92000001,ENGLAND,,,53012456,675065,668662,663119,663574,648029,632090,600847,594673,572874,572148,587056,605569,618918,628858,640528,650826,648677,665447,674980,700335,727389,711470,715130,728435,712897,731640,730870,725203,728376,734792,747536,738069,700814,660464,662338,668403,685626,699168,731914,764005,775472,761698,780374,777994,790396,790748,795338,781209,767090,745430,723908,690689,680476,666006,639016,614577,602320,605276,591365,583454,586619,605525,620903,676509,682721,523808,553369,516594,488921,425462,409195,426526,417526,403761,387121,367663,350111,326669,318178,306724,297352,273007,250274,226334,211806,191681,171121,153717,136061,123731,110027,82336,49584,37630,34145,26370,21040,15044,10327,6738,10576
W92000004,WALES,,,3063456,36464,35493,35658,35825,34861,34230,32768,32431,31518,32132,33392,34590,35667,36366,37733,37168,38044,39067,40680,44161,46320,43468,42545,40594,38997,38202,37831,36792,36574,36329,37660,37090,34287,32423,33234,32953,34643,35900,38408,41141,41939,41502,43263,42595,43856,43904,45035,44917,43817,43038,42299,40489,40224,39740,38847,36747,37029,38192,37665,37290,38011,39409,40400,43717,43348,33896,36025,33970,32796,29320,28138,27870,27286,26184,25065,23797,23148,21169,20659,19429,18605,17016,15627,14313,13671,12449,10937,9587,8395,7992,6692,5179,3355,2383,2124,1602,1284,915,649,407,610
S92000003 ,SCOTLAND,,,5295403,58715,59556,58909,58764,56877,55224,55236,53786,52325,53046,55067,56769,58656,59971,61152,62278,62145,64121,68130,74152,74835,72001,72969,73783,70352,70288,69246,67813,68342,69943,69202,67429,64193,60491,60380,63609,64355,66397,70159,75536,76562,76474,79587,80953,81122,81314,84376,82601,82554,80084,78847,75598,75660,73955,71767,69190,67232,66128,64782,63559,63996,64709,66339,70598,70880,53361,55060,54012,51495,47270,45155,46168,44637,43297,41337,39583,37832,35211,33146,32342,30065,27162,25170,21669,20459,18626,15898,14181,12024,10778,9439,6975,4331,3321,2840,2241,1825,1174,857,539,854
N92000002 ,NORTHERN IRELAND,,,1810863,25250,24792,25110,25146,24084,22989,22406,22267,21680,21945,22146,23307,24254,24427,24900,24620,25732,25708,25296,24885,24776,24791,25135,25522,25789,25270,25178,24705,24435,24511,25396,25147,23595,22968,22733,23190,23654,24450,25455,25511,26180,25968,26397,26751,26552,26757,27246,26527,25896,25219,24973,23764,23255,23083,21858,21163,20005,20006,19447,18651,18904,18975,18782,18779,18850,17003,17316,17177,16363,14262,13016,13027,13124,12168,12144,11158,10603,9897,9655,9045,8633,7824,7211,6562,6136,5287,4792,4306,3645,3135,2685,1999,1462,1107,811,675,514,351,244,155,228
E92000001,ENGLAND,,,53012456,675065,668662,663119,663574,648029,632090,600847,594673,572874,572148,587056,605569,618918,628858,640528,650826,648677,665447,674980,700335,727389,711470,715130,728435,712897,731640,730870,725203,728376,734792,747536,738069,700814,660464,662338,668403,685626,699168,731914,764005,775472,761698,780374,777994,790396,790748,795338,781209,767090,745430,723908,690689,680476,666006,639016,614577,602320,605276,591365,583454,586619,605525,620903,676509,682721,523808,553369,516594,488921,425462,409195,426526,417526,403761,387121,367663,350111,326669,318178,306724,297352,273007,250274,226334,211806,191681,171121,153717,136061,123731,110027,82336,49584,37630,34145,26370,21040,15044,10327,6738,10576
E12000001,NORTH EAST,,,2596886,30606,30202,29686,29934,29415,29041,27545,27103,26256,26354,27047,28525,28936,29784,30753,31250,31174,32431,35008,39577,40249,37793,36345,35724,33907,34605,33255,32325,32082,32036,32782,32772,30381,27610,27607,29101,29473,30538,32473,35564,36502,35386,36440,36787,38117,39021,39650,39515,39118,38716,37125,36454,36698,36309,34793,33128,32305,32507,31644,31361,31438,32513,33069,35809,35747,27562,28770,25886,24168,22125,21862,22727,22911,22195,21036,19766,18844,17793,17235,16223,15913,14047,12971,11177,10894,9634,8447,7253,6350,5862,4851,3717,2373,1732,1410,1120,841,601,410,323,456
E06000047,,County Durham UA,,513242,5884,5645,5602,5826,5617,5366,5325,5127,4947,4894,5176,5421,5650,5827,5795,5882,5947,6160,6979,8299,8453,7688,6788,6352,5874,6367,6064,5968,6108,6121,6055,6136,5621,5149,5172,5518,5628,5888,6505,6959,7423,7151,7584,7587,7774,8016,8056,8030,7695,7740,7315,7076,7287,7133,6902,6753,6630,6495,6526,6546,6594,6864,6947,7434,7556,5953,6273,5680,5207,4761,4652,4696,4694,4564,4403,3979,3878,3503,3449,3041,3125,2771,2544,2186,2159,1975,1616,1430,1165,1135,954,709,461,331,262,215,187,144,87,76,80
E06000005,,Darlington UA,,105564,1344,1371,1302,1297,1265,1289,1271,1230,1215,1069,1147,1236,1286,1292,1263,1330,1346,1375,1224,1133,1198,1101,1154,1307,1311,1323,1356,1316,1277,1335,1328,1338,1334,1205,1224,1231,1310,1371,1392,1543,1516,1536,1460,1464,1665,1630,1613,1615,1601,1535,1581,1424,1461,1457,1335,1318,1176,1337,1253,1224,1231,1267,1339,1422,1426,1173,1180,1038,930,884,901,929,961,875,846,770,766,729,669,592,598,575,516,470,487,441,389,318,289,303,206,148,104,91,69,50,34,26,32,22,28
E06000001,,Hartlepool UA,,92028,1097,1176,1155,1159,1111,1150,1051,1001,991,999,1060,1131,1153,1098,1211,1257,1263,1307,1241,1210,1174,1096,1166,1243,1276,1156,1098,1159,1093,1116,1075,1081,996,939,942,977,949,1094,1125,1228,1270,1276,1274,1300,1343,1467,1436,1468,1433,1463,1367,1313,1309,1248,1227,1158,1095,1091,1138,1113,1087,1142,1173,1223,1212,936,936,800,796,768,727,772,845,792,802,738,692,645,677,575,568,498,428,365,382,358,289,229,221,226,163,127,63,51,34,29,15,16,15,6,14
E06000002,,Middlesbrough UA,,138412,1979,1965,1797,1863,1827,1835,1703,1640,1553,1545,1652,1652,1643,1755,1783,1811,1850,1897,2114,2392,2495,2399,2352,2352,2092,2151,2035,1990,1842,1747,1879,1763,1668,1516,1469,1584,1566,1599,1614,1772,1834,1732,1756,1792,1870,1954,2076,1924,1960,1985,1914,1812,1842,1884,1781,1623,1646,1604,1546,1514,1452,1454,1459,1576,1590,1200,1204,1097,1103,1076,1030,1023,1058,1058,984,963,873,856,797,789,765,718,585,525,522,413,388,334,254,269,213,183,103,90,56,40,46,30,19,12,15
E06000057,,Northumberland UA,,316028,3148,3150,3205,3325,3175,3336,3207,3320,3142,3340,3238,3541,3620,3591,3687,3841,3773,3858,3649,3343,3146,3093,3318,3440,3227,3405,3375,3095,3088,3224,3288,3471,3275,2997,3090,3196,3369,3483,3726,4133,4457,4137,4368,4527,4639,4826,5076,4988,4938,5014,4865,4880,4921,4839,4616,4486,4342,4541,4319,4484,4558,4637,4770,5364,5204,4068,4267,3958,3649,3120,3103,3167,3128,3001,2905,2664,2631,2396,2340,2218,2102,1861,1756,1519,1531,1301,1235,1050,870,777,729,517,377,231,242,183,140,72,62,53,81
E06000003,,Redcar and Cleveland UA,,135177,1575,1478,1483,1481,1536,1560,1462,1340,1304,1432,1394,1584,1556,1546,1723,1712,1778,1830,1775,1740,1558,1539,1668,1672,1655,1664,1536,1499,1392,1537,1556,1482,1342,1317,1290,1360,1417,1437,1650,1790,1821,1812,1863,1890,2093,2119,1988,2134,2076,2081,1915,1922,1922,1889,1781,1709,1667,1732,1682,1668,1698,1816,1852,2067,2078,1660,1716,1543,1460,1397,1347,1389,1408,1300,1198,1169,1030,956,986,876,895,828,734,651,596,522,480,440,383,308,266,193,140,97,73,68,54,30,22,17,20
E06000004,,Stockton-on-Tees UA,,191610,2477,2485,2482,2435,2443,2388,2204,2232,2085,2064,2141,2273,2319,2287,2437,2355,2445,2723,2686,2610,2551,2485,2476,2595,2544,2554,2643,2410,2495,2500,2491,2455,2307,2090,2102,2241,2251,2324,2440,2747,2793,2755,2759,2875,2905,2876,2918,2934,3017,2899,2789,2704,2657,2638,2611,2392,2345,2390,2272,2210,2216,2214,2303,2500,2415,1815,1959,1753,1616,1602,1443,1513,1606,1416,1379,1408,1216,1192,1168,1105,1158,931,814,711,665,594,544,515,392,384,307,211,136,125,73,62,48,30,27,19,14
E11000004,,Tyne and Wear (Met County),,1104825,13102,12932,12660,12548,12441,12117,11322,11213,11019,11011,11239,11687,11709,12388,12854,13062,12772,13281,15340,18850,19674,18392,17423,16763,15928,15985,15148,14888,14787,14456,15110,15046,13838,12397,12318,12994,12983,13342,14021,15392,15388,14987,15376,15352,15828,16133,16487,16422,16398,15999,15379,15323,15299,15221,14540,13689,13404,13317,12908,12602,12602,13119,13226,14223,14266,10757,11235,10017,9407,8517,8659,9238,9211,9189,8519,8075,7758,7516,7149,7027,6702,5865,5594,4750,4552,4030,3506,2937,2776,2460,2013,1629,989,716,601,473,317,253,146,118,204
E08000037,,,Gateshead,200214,2530,2400,2395,2169,2375,2214,2093,2016,1936,2051,2023,2092,2161,2271,2333,2439,2342,2436,2501,2452,2264,2211,2429,2567,2633,2855,2752,2914,2871,2667,2870,2858,2610,2384,2388,2459,2393,2502,2551,2975,2849,2840,2864,2917,3006,3032,2979,3024,3038,2980,2859,2789,2746,2783,2613,2424,2411,2323,2292,2222,2284,2409,2513,2723,2667,2049,2178,1945,1789,1685,1743,1849,1861,1820,1689,1563,1526,1448,1416,1340,1315,1074,1000,860,870,805,678,490,485,439,350,292,192,118,110,84,63,49,27,17,26
E08000021,,,Newcastle upon Tyne,280177,3539,3454,3204,3281,3044,3019,2792,2723,2700,2801,2833,2843,2771,2963,3078,2929,3100,3056,4977,8334,9403,8365,6971,6019,5254,5158,4696,4542,4350,4202,4091,3985,3590,3246,3141,3355,3330,3238,3267,3507,3563,3350,3477,3379,3453,3601,3587,3582,3584,3602,3372,3455,3356,3287,3159,3090,2885,2925,2779,2688,2671,2833,2765,2863,3001,2206,2274,2093,1949,1767,1726,1844,1950,1858,1713,1747,1629,1523,1480,1478,1419,1257,1226,1062,1036,910,780,662,663,563,513,384,248,167,168,138,84,78,39,36,49
E08000022,,,North Tyneside,200801,2378,2356,2367,2353,2278,2346,2132,2099,2062,2014,2090,2135,2112,2282,2302,2407,2222,2409,2304,2117,2059,1989,2188,2290,2382,2409,2467,2384,2553,2598,2878,2960,2731,2335,2422,2515,2612,2596,2796,2986,2994,2964,2928,2881,3046,3059,3272,3256,3195,2984,2849,2841,2858,2909,2723,2547,2593,2638,2528,2467,2363,2545,2562,2780,2809,2161,2252,1923,1806,1562,1645,1730,1697,1740,1580,1518,1429,1432,1395,1350,1246,1161,1114,982,860,817,709,583,553,493,417,329,218,165,118,91,54,58,33,25,49
E08000023,,,South Tyneside,148127,1647,1667,1630,1621,1617,1569,1468,1582,1459,1473,1454,1617,1629,1732,1801,1961,1825,1910,1916,1881,1882,1783,1877,1888,2017,1975,1802,1748,1694,1682,1851,1831,1702,1475,1484,1622,1563,1700,1784,1941,1982,2021,2147,2099,2234,2380,2376,2337,2341,2286,2274,2315,2300,2146,2108,1968,1940,1945,1903,1775,1807,1934,1896,2024,1976,1536,1582,1434,1341,1203,1260,1345,1335,1294,1304,1124,1151,1124,1041,1052,979,885,870,707,699,584,557,489,456,417,318,263,126,106,80,53,43,29,15,13,38
E08000024,,,Sunderland,275506,3008,3055,3064,3124,3127,2969,2837,2793,2862,2672,2839,3000,3036,3140,3340,3326,3283,3470,3642,4066,4066,4044,3958,3999,3642,3588,3431,3300,3319,3307,3420,3412,3205,2957,2883,3043,3085,3306,3623,3983,4000,3812,3960,4076,4089,4061,4273,4223,4240,4147,4025,3923,4039,4096,3937,3660,3575,3486,3406,3450,3477,3398,3490,3833,3813,2805,2949,2622,2522,2300,2285,2470,2368,2477,2233,2123,2023,1989,1817,1807,1743,1488,1384,1139,1087,914,782,713,619,548,415,361,205,160,125,107,73,39,32,27,42
E12000002,NORTH WEST ,,,7052177,87370,86767,86133,86913,84908,83620,79699,77789,75408,75650,78223,80300,82568,83770,87546,87884,86893,90598,92905,98557,102771,98771,97727,96964,93407,95797,94451,92927,92197,91210,92320,91084,85152,80371,80758,82591,85512,87719,93820,100407,101975,100477,104010,103230,105110,104100,107320,104527,104470,101934,98898,94320,92196,91740,87986,83650,81523,83193,81341,79921,81690,83603,86385,94287,93679,70569,74134,70677,67199,59661,58152,59862,57884,56213,53391,50810,48146,44408,42726,41260,39717,36603,33232,29619,28075,24914,21900,19537,17106,15859,13570,10148,6174,4533,4101,3177,2707,1848,1225,740,1278
