SOA2001,LGD2014,LGD2014NAME
95AA01S1,N09000001,Antrim and Newtownabbey
95AA01S2,N09000001,Antrim and Newtownabbey
95AA01S3,N09000001,Antrim and Newtownabbey
95AA02W1,N09000001,Antrim and Newtownabbey
95AA03W1,N09000001,Antrim and Newtownabbey
95AA04W1,N09000001,Antrim and Newtownabbey
95AA05W1,N09000001,Antrim and Newtownabbey
95AA06S1,N09000001,Antrim and Newtownabbey
95AA06S2,N09000001,Antrim and Newtownabbey
95AA07W1,N09000001,Antrim and Newtownabbey
95AA08W1,N09000001,Antrim and Newtownabbey
95AA09W1,N09000001,Antrim and Newtownabbey
95AA10W1,N09000001,Antrim and Newtownabbey
95AA11S1,N09000001,Antrim and Newtownabbey
95AA11S2,N09000001,Antrim and Newtownabbey
95AA12W1,N09000001,Antrim and Newtownabbey
95AA13S1,N09000001,Antrim and Newtownabbey
95AA13S2,N09000001,Antrim and Newtownabbey
95AA14W1,N09000001,Antrim and Newtownabbey
95AA15S1,N09000001,Antrim and Newtownabbey
95AA15S2,N09000001,Antrim and Newtownabbey
95AA16W1,N09000001,Antrim and Newtownabbey
95AA17W1,N09000001,Antrim and Newtownabbey
95AA18W1,N09000001,Antrim and Newtownabbey
95AA19W1,N09000001,Antrim and Newtownabbey
95BB01S1,N09000011,Ards and North Down
95BB01S2,N09000011,Ards and North Down
95BB02W1,N09000011,Ards and North Down
95BB03S1,N09000011,Ards and North Down
95BB03S2,N09000011,Ards and North Down
95BB04S1,N09000011,Ards and North Down
95BB04S2,N09000011,Ards and North Down
95BB05S1,N09000011,Ards and North Down
95BB05S2,N09000011,Ards and North Down
95BB06W1,N09000011,Ards and North Down
95BB07S1,N09000011,Ards and North Down
95BB07S2,N09000011,Ards and North Down
95BB08S1,N09000011,Ards and North Down
95BB08S2,N09000011,Ards and North Down
95BB09S1,N09000011,Ards and North Down
95BB09S2,N09000011,Ards and North Down
95BB10S1,N09000011,Ards and North Down
95BB10S2,N09000011,Ards and North Down
95BB11S1,N09000011,Ards and North Down
95BB11S2,N09000011,Ards and North Down
95BB12S1,N09000011,Ards and North Down
95BB12S2,N09000011,Ards and North Down
95BB13S1,N09000011,Ards and North Down
95BB13S2,N09000011,Ards and North Down
95BB13S3,N09000011,Ards and North Down
95BB14S1,N09000011,Ards and North Down
95BB14S2,N09000011,Ards and North Down
95BB15S1,N09000011,Ards and North Down
95BB15S2,N09000011,Ards and North Down
95BB16S1,N09000011,Ards and North Down
95BB16S2,N09000011,Ards and North Down
95BB17S1,N09000011,Ards and North Down
95BB17S2,N09000011,Ards and North Down
95BB18S1,N09000011,Ards and North Down
95BB18S2,N09000011,Ards and North Down
95BB19S1,N09000011,Ards and North Down
95BB19S2,N09000011,Ards and North Down
95BB19S3,N09000011,Ards and North Down
95BB20S1,N09000011,Ards and North Down
95BB20S2,N09000011,Ards and North Down
95BB21S1,N09000011,Ards and North Down
95BB21S2,N09000011,Ards and North Down
95BB22S1,N09000011,Ards and North Down
95BB22S2,N09000011,Ards and North Down
95BB23S1,N09000011,Ards and North Down
95BB23S2,N09000011,Ards and North Down
95CC01W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC02W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC03W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC04W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC05W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC06S1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC06S2,N09000002,"Armagh City, Banbridge and Craigavon"
95CC07W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC08W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC09S1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC09S2,N09000002,"Armagh City, Banbridge and Craigavon"
95CC10W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC11W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC12W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC13W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC14W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC15W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC16W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC17W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC18W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC19W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC20S1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC20S2,N09000002,"Armagh City, Banbridge and Craigavon"
95CC21W1,N09000002,"Armagh City, Banbridge and Craigavon"
95CC22W1,N09000002,"Armagh City, Banbridge and Craigavon"
95DD01W1,N09000008,Mid and East Antrim
95DD02S1,N09000008,Mid and East Antrim
95DD02S2,N09000008,Mid and East Antrim
95DD03W1,N09000008,Mid and East Antrim
95DD04W1,N09000008,Mid and East Antrim
95DD05W1,N09000008,Mid and East Antrim
95DD06W1,N09000008,Mid and East Antrim
95DD07S1,N09000008,Mid and East Antrim
95DD07S2,N09000008,Mid and East Antrim
95DD08W1,N09000008,Mid and East Antrim
95DD09W1,N09000008,Mid and East Antrim
95DD10W1,N09000008,Mid and East Antrim
95DD11W1,N09000008,Mid and East Antrim
95DD12W1,N09000008,Mid and East Antrim
95DD13W1,N09000008,Mid and East Antrim
95DD14S1,N09000008,Mid and East Antrim
95DD14S2,N09000008,Mid and East Antrim
95DD15W1,N09000008,Mid and East Antrim
95DD16W1,N09000008,Mid and East Antrim
95DD17W1,N09000008,Mid and East Antrim
95DD18W1,N09000008,Mid and East Antrim
95DD19S1,N09000008,Mid and East Antrim
95DD19S2,N09000008,Mid and East Antrim
95DD20W1,N09000008,Mid and East Antrim
95DD21W1,N09000008,Mid and East Antrim
95DD22S1,N09000008,Mid and East Antrim
95DD22S2,N09000008,Mid and East Antrim
95DD23W1,N09000008,Mid and East Antrim
95DD24W1,N09000008,Mid and East Antrim
95EE01W1,N09000004,Causeway Coast and Glens
95EE02W1,N09000004,Causeway Coast and Glens
95EE03W1,N09000004,Causeway Coast and Glens
95EE04W1,N09000004,Causeway Coast and Glens
95EE05W1,N09000004,Causeway Coast and Glens
95EE06W1,N09000004,Causeway Coast and Glens
95EE07W1,N09000004,Causeway Coast and Glens
95EE08W1,N09000004,Causeway Coast and Glens
95EE09W1,N09000004,Causeway Coast and Glens
95EE10W1,N09000004,Causeway Coast and Glens
95EE11W1,N09000004,Causeway Coast and Glens
95EE12W1,N09000004,Causeway Coast and Glens
95EE13W1,N09000004,Causeway Coast and Glens
95EE14W1,N09000004,Causeway Coast and Glens
95EE15W1,N09000004,Causeway Coast and Glens
95EE16W1,N09000004,Causeway Coast and Glens
95FF01S1,N09000002,"Armagh City, Banbridge and Craigavon"
95FF01S2,N09000002,"Armagh City, Banbridge and Craigavon"
95FF02W1,N09000010,"Newry, Mourne and Down"
95FF03W1,N09000002,"Armagh City, Banbridge and Craigavon"
95FF04W1,N09000002,"Armagh City, Banbridge and Craigavon"
95FF05W1,N09000002,"Armagh City, Banbridge and Craigavon"
95FF06S1,N09000002,"Armagh City, Banbridge and Craigavon"
95FF06S2,N09000002,"Armagh City, Banbridge and Craigavon"
95FF07W1,N09000002,"Armagh City, Banbridge and Craigavon"
95FF08W1,N09000002,"Armagh City, Banbridge and Craigavon"
