OutputArea2011Code,DataZone2011Code,IntermediateZone2011Code
S00088956,S01006732,S02001275
S00088957,S01006732,S02001275
S00088958,S01006732,S02001275
S00088959,S01006737,S02001275
S00088960,S01006518,S02001238
S00088961,S01006524,S02001238
S00088962,S01006517,S02001237
S00088963,S01006506,S02001236
S00088964,S01006506,S02001236
S00088965,S01006755,S02001278
S00088966,S01006732,S02001275
S00088967,S01006755,S02001278
S00088968,S01006732,S02001275
S00088969,S01006788,S02001284
S00088970,S01006571,S02001247
S00088971,S01006584,S02001249
S00088972,S01006584,S02001249
S00088973,S01006585,S02001249
S00088974,S01006585,S02001249
S00088975,S01006584,S02001249
S00088976,S01006585,S02001249
S00088977,S01006585,S02001249
S00088978,S01006585,S02001249
S00088979,S01006585,S02001249
S00088980,S01006585,S02001249
S00088981,S01006586,S02001249
S00088982,S01006586,S02001249
S00088983,S01006586,S02001249
S00088984,S01006565,S02001246
S00088985,S01006565,S02001246
S00088986,S01006586,S02001249
S00088987,S01006589,S02001250
S00088988,S01006648,S02001261
S00088989,S01006648,S02001261
S00088990,S01006648,S02001261
S00088991,S01006646,S02001261
S00088992,S01006646,S02001261
S00088993,S01006648,S02001261
S00088994,S01006647,S02001261
S00088995,S01006648,S02001261
S00088996,S01006647,S02001261
S00088997,S01006602,S02001252
S00088998,S01006598,S02001252
S00088999,S01006598,S02001252
S00089000,S01006595,S02001251
S00089001,S01006594,S02001251
S00089002,S01006602,S02001252
S00089003,S01006596,S02001251
S00089004,S01006596,S02001251
S00089005,S01006598,S02001252
S00089006,S01006598,S02001252
S00089007,S01006592,S02001251
S00089008,S01006592,S02001251
S00089009,S01006592,S02001251
S00089010,S01006592,S02001251
S00089011,S01006587,S02001250
S00089012,S01006593,S02001251
S00089013,S01006593,S02001251
S00089014,S01006593,S02001251
S00089015,S01006593,S02001251
S00089016,S01006593,S02001251
S00089017,S01006593,S02001251
S00089018,S01006596,S02001251
S00089019,S01006596,S02001251
S00089020,S01006596,S02001251
S00089021,S01006596,S02001251
S00089022,S01006595,S02001251
S00089023,S01006595,S02001251
S00089024,S01006597,S02001251
S00089025,S01006597,S02001251
S00089026,S01006597,S02001251
S00089027,S01006597,S02001251
S00089028,S01006583,S02001249
S00089029,S01006595,S02001251
S00089030,S01006596,S02001251
S00089031,S01006591,S02001251
S00089032,S01006590,S02001250
S00089033,S01006590,S02001250
S00089034,S01006590,S02001250
S00089035,S01006587,S02001250
S00089036,S01006590,S02001250
S00089037,S01006582,S02001249
S00089038,S01006587,S02001250
S00089039,S01006587,S02001250
S00089040,S01006629,S02001257
S00089041,S01006629,S02001257
S00089042,S01006629,S02001257
S00089043,S01006629,S02001257
S00089044,S01006629,S02001257
S00089045,S01006624,S02001257
S00089046,S01006624,S02001257
S00089047,S01006624,S02001257
S00089048,S01006625,S02001257
S00089049,S01006625,S02001257
S00089050,S01006625,S02001257
S00089051,S01006625,S02001257
S00089052,S01006625,S02001257
S00089053,S01006624,S02001257
S00089054,S01006624,S02001257
S00089055,S01006624,S02001257
S00089056,S01006624,S02001257
S00089057,S01006624,S02001257
S00089058,S01006624,S02001257
S00089059,S01006628,S02001257
S00089060,S01006628,S02001257
S00089061,S01006628,S02001257
S00089062,S01006628,S02001257
S00089063,S01006628,S02001257
S00089064,S01006628,S02001257
S00089065,S01006628,S02001257
S00089066,S01006628,S02001257
