Area of Usual Residence,Area of Workplace,Females
S02001236,England,1
S02001236,OD0000001,121
S02001236,OD0000003,57
S02001236,OD0000004,3
S02001236,S02001236,108
S02001236,S02001237,53
S02001236,S02001238,74
S02001236,S02001239,33
S02001236,S02001240,8
S02001236,S02001241,4
S02001236,S02001242,10
S02001236,S02001243,14
S02001236,S02001244,20
S02001236,S02001245,77
S02001236,S02001246,3
S02001236,S02001247,52
S02001236,S02001248,5
S02001236,S02001249,92
S02001236,S02001250,39
S02001236,S02001251,8
S02001236,S02001252,1
S02001236,S02001253,4
S02001236,S02001254,11
S02001236,S02001256,63
S02001236,S02001257,6
S02001236,S02001258,2
S02001236,S02001259,13
S02001236,S02001260,10
S02001236,S02001261,50
S02001236,S02001262,17
S02001236,S02001263,12
S02001236,S02001264,22
S02001236,S02001265,4
S02001236,S02001266,2
S02001236,S02001268,1
S02001236,S02001269,5
S02001236,S02001270,8
S02001236,S02001272,6
S02001236,S02001273,2
S02001236,S02001274,2
S02001236,S02001275,4
S02001236,S02001277,46
S02001236,S02001278,11
S02001236,S02001281,1
S02001236,S02001282,5
S02001236,S02001283,6
S02001236,S02001284,3
S02001236,S02001286,1
S02001236,S02001287,1
S02001236,S02001288,1
S02001236,S02001290,1
S02001236,S02001291,4
S02001236,S02001292,4
S02001236,S02001294,5
S02001236,S02001295,14
S02001236,S02001296,16
S02001236,S02001297,5
S02001236,S02001298,16
S02001236,S02001299,4
S02001236,S02001301,1
S02001236,S02001302,1
S02001236,S02001303,1
S02001236,S02001304,4
S02001236,S02001305,3
S02001236,S02001306,5
S02001236,S02001307,1
S02001236,S02001308,7
S02001236,S02001309,10
S02001236,S02001310,34
S02001236,S02001311,1
S02001236,S02001312,3
S02001236,S02001313,1
S02001236,S02001317,1
S02001236,S02001328,1
S02001236,S02001932,1
S02001237,England,3
S02001237,OD0000001,129
S02001237,OD0000003,44
S02001237,S02001236,9
S02001237,S02001237,36
S02001237,S02001238,48
S02001237,S02001239,16
S02001237,S02001240,9
S02001237,S02001241,2
S02001237,S02001242,7
S02001237,S02001243,12
S02001237,S02001244,15
S02001237,S02001245,53
S02001237,S02001246,5
S02001237,S02001247,33
S02001237,S02001248,5
S02001237,S02001249,58
S02001237,S02001250,31
S02001237,S02001251,11
S02001237,S02001252,2
S02001237,S02001253,3
S02001237,S02001256,49
S02001237,S02001257,6
S02001237,S02001258,4
S02001237,S02001259,4
S02001237,S02001260,5
S02001237,S02001261,47
S02001237,S02001262,17
S02001237,S02001263,2
S02001237,S02001264,19
S02001237,S02001265,10
S02001237,S02001267,2
S02001237,S02001268,1
S02001237,S02001269,8
S02001237,S02001270,2
S02001237,S02001271,1
S02001237,S02001272,5
S02001237,S02001274,1
S02001237,S02001275,3
S02001237,S02001276,6
S02001237,S02001277,20
S02001237,S02001278,14
S02001237,S02001279,1
S02001237,S02001280,1
S02001237,S02001281,2
S02001237,S02001282,3
S02001237,S02001283,5
S02001237,S02001284,2
S02001237,S02001290,2
S02001237,S02001291,2
S02001237,S02001292,1
S02001237,S02001294,3
S02001237,S02001295,4
S02001237,S02001296,4
S02001237,S02001297,1
S02001237,S02001298,10
S02001237,S02001299,7
S02001237,S02001303,1
S02001237,S02001304,2
S02001237,S02001305,1
S02001237,S02001306,1
S02001237,S02001308,1
S02001237,S02001309,7
S02001237,S02001310,20
S02001237,S02001313,1
S02001237,S02001338,1
S02001237,S02001357,2
S02001237,S02001359,1
S02001237,S02001448,1
S02001237,S02001620,1
S02001237,S02001670,1
S02001237,S02002324,1
S02001238,England,2
S02001238,OD0000001,197
S02001238,OD0000002,1
S02001238,OD0000003,43
S02001238,OD0000004,5
S02001238,S02001236,12
S02001238,S02001237,41
S02001238,S02001238,99
S02001238,S02001239,40
S02001238,S02001240,5
S02001238,S02001241,4
S02001238,S02001242,14
S02001238,S02001243,30
S02001238,S02001244,17
S02001238,S02001245,102
S02001238,S02001246,6
S02001238,S02001247,63
S02001238,S02001248,9
S02001238,S02001249,125
S02001238,S02001250,39
S02001238,S02001251,16
S02001238,S02001252,3
S02001238,S02001253,4
S02001238,S02001254,5
S02001238,S02001255,4
S02001238,S02001256,78
S02001238,S02001257,11
S02001238,S02001258,3
S02001238,S02001259,11
S02001238,S02001260,5
S02001238,S02001261,42
S02001238,S02001262,20
S02001238,S02001263,9
S02001238,S02001264,22
S02001238,S02001265,8
S02001238,S02001266,3
S02001238,S02001267,1
S02001238,S02001268,3
S02001238,S02001269,14
S02001238,S02001270,3
S02001238,S02001271,1
S02001238,S02001272,1
S02001238,S02001273,6
S02001238,S02001275,2
S02001238,S02001276,2
S02001238,S02001277,42
S02001238,S02001278,5
S02001238,S02001279,2
S02001238,S02001281,3
S02001238,S02001282,6
S02001238,S02001283,14
S02001238,S02001284,8
S02001238,S02001286,1
S02001238,S02001287,1
S02001238,S02001288,2
S02001238,S02001291,1
S02001238,S02001292,2
S02001238,S02001294,1
S02001238,S02001295,7
S02001238,S02001296,5
S02001238,S02001297,5
S02001238,S02001298,9
S02001238,S02001299,2
S02001238,S02001301,1
S02001238,S02001303,2
S02001238,S02001304,6
S02001238,S02001306,1
S02001238,S02001307,1
S02001238,S02001308,1
S02001238,S02001309,3
S02001238,S02001310,18
S02001238,S02001313,1
S02001238,S02001333,1
S02001238,S02001623,1
S02001238,S02001627,1
S02001238,S02001784,1
S02001238,S02001933,1
S02001238,S02002324,1
S02001238,S02002328,1
S02001239,OD0000001,110
S02001239,OD0000002,4
S02001239,OD0000003,49
S02001239,OD0000004,1
S02001239,S02001236,3
S02001239,S02001237,3
S02001239,S02001238,26
S02001239,S02001239,194
S02001239,S02001240,18
S02001239,S02001241,12
S02001239,S02001242,13
S02001239,S02001243,7
S02001239,S02001244,13
S02001239,S02001245,64
S02001239,S02001246,7
S02001239,S02001247,44
S02001239,S02001248,13
S02001239,S02001249,115
S02001239,S02001250,68
S02001239,S02001251,18
S02001239,S02001252,13
S02001239,S02001253,16
S02001239,S02001254,11
S02001239,S02001255,1
S02001239,S02001256,61
S02001239,S02001257,20
S02001239,S02001259,23
S02001239,S02001260,15
S02001239,S02001261,74
S02001239,S02001262,18
S02001239,S02001263,9
S02001239,S02001264,21
S02001239,S02001265,8
S02001239,S02001266,4
S02001239,S02001267,1
S02001239,S02001268,1
S02001239,S02001269,6
S02001239,S02001270,2
S02001239,S02001272,1
S02001239,S02001273,2
S02001239,S02001274,1
S02001239,S02001275,8
S02001239,S02001276,4
S02001239,S02001277,27
S02001239,S02001278,9
S02001239,S02001279,4
S02001239,S02001281,6
S02001239,S02001282,3
S02001239,S02001283,6
S02001239,S02001284,9
S02001239,S02001290,1
S02001239,S02001291,1
S02001239,S02001292,1
S02001239,S02001294,5
S02001239,S02001295,6
S02001239,S02001296,4
S02001239,S02001297,1
S02001239,S02001299,1
S02001239,S02001300,1
S02001239,S02001302,2
S02001239,S02001303,2
S02001239,S02001304,4
S02001239,S02001308,2
S02001239,S02001309,2
S02001239,S02001310,6
S02001239,S02001311,1
S02001239,S02001312,2
S02001239,S02001313,2
S02001239,S02001315,1
S02001239,S02001316,2
S02001239,S02001317,1
S02001239,S02001336,1
S02001239,S02001359,1
S02001239,S02001446,1
S02001239,S02001998,1
S02001240,England,2
S02001240,OD0000001,99
S02001240,OD0000002,4
S02001240,OD0000003,31
S02001240,OD0000004,1
S02001240,S02001236,8
S02001240,S02001237,2
S02001240,S02001238,24
S02001240,S02001239,51
S02001240,S02001240,21
S02001240,S02001241,2
S02001240,S02001242,9
S02001240,S02001243,32
S02001240,S02001244,15
S02001240,S02001245,98
S02001240,S02001246,9
S02001240,S02001247,95
S02001240,S02001248,8
S02001240,S02001249,143
S02001240,S02001250,52
S02001240,S02001251,16
S02001240,S02001252,8
S02001240,S02001253,3
S02001240,S02001254,22
S02001240,S02001255,3
S02001240,S02001256,84
S02001240,S02001257,8
S02001240,S02001258,2
S02001240,S02001259,12
