Area of Usual Residence,Area of Workplace,Males
S02001236,England,4
S02001236,OD0000001,122
S02001236,OD0000002,47
S02001236,OD0000003,167
S02001236,OD0000004,19
S02001236,S02001236,38
S02001236,S02001237,14
S02001236,S02001238,38
S02001236,S02001239,16
S02001236,S02001240,6
S02001236,S02001241,1
S02001236,S02001242,7
S02001236,S02001243,26
S02001236,S02001244,5
S02001236,S02001245,23
S02001236,S02001246,5
S02001236,S02001247,31
S02001236,S02001248,4
S02001236,S02001249,71
S02001236,S02001250,35
S02001236,S02001251,12
S02001236,S02001252,4
S02001236,S02001253,2
S02001236,S02001254,22
S02001236,S02001256,114
S02001236,S02001257,7
S02001236,S02001258,6
S02001236,S02001259,18
S02001236,S02001260,14
S02001236,S02001261,45
S02001236,S02001262,6
S02001236,S02001263,11
S02001236,S02001264,13
S02001236,S02001265,7
S02001236,S02001266,1
S02001236,S02001267,2
S02001236,S02001269,3
S02001236,S02001270,10
S02001236,S02001271,2
S02001236,S02001273,3
S02001236,S02001274,1
S02001236,S02001275,7
S02001236,S02001276,8
S02001236,S02001277,109
S02001236,S02001278,21
S02001236,S02001282,7
S02001236,S02001283,15
S02001236,S02001284,19
S02001236,S02001287,2
S02001236,S02001288,2
S02001236,S02001290,9
S02001236,S02001291,3
S02001236,S02001292,1
S02001236,S02001294,1
S02001236,S02001295,25
S02001236,S02001296,22
S02001236,S02001297,15
S02001236,S02001298,6
S02001236,S02001299,3
S02001236,S02001302,1
S02001236,S02001303,1
S02001236,S02001304,3
S02001236,S02001305,4
S02001236,S02001306,1
S02001236,S02001307,5
S02001236,S02001308,11
S02001236,S02001310,49
S02001236,S02001311,4
S02001236,S02001312,2
S02001236,S02001315,1
S02001236,S02001316,1
S02001236,S02001319,1
S02001236,S02001343,1
S02001236,S02001357,1
S02001236,S02001359,3
S02001236,S02002007,1
S02001236,S02002075,1
S02001236,S02002084,1
S02001236,S02002194,1
S02001236,S02002322,1
S02001236,S02002324,1
S02001236,S02002340,1
S02001237,England,3
S02001237,OD0000001,161
S02001237,OD0000002,21
S02001237,OD0000003,83
S02001237,OD0000004,16
S02001237,S02001236,5
S02001237,S02001237,17
S02001237,S02001238,37
S02001237,S02001239,12
S02001237,S02001240,3
S02001237,S02001241,5
S02001237,S02001242,1
S02001237,S02001243,36
S02001237,S02001244,2
S02001237,S02001245,29
S02001237,S02001246,5
S02001237,S02001247,40
S02001237,S02001248,1
S02001237,S02001249,68
S02001237,S02001250,45
S02001237,S02001251,23
S02001237,S02001252,1
S02001237,S02001253,1
S02001237,S02001254,9
S02001237,S02001256,108
S02001237,S02001257,12
S02001237,S02001258,3
S02001237,S02001259,14
S02001237,S02001260,1
S02001237,S02001261,33
S02001237,S02001262,1
S02001237,S02001263,6
S02001237,S02001264,15
S02001237,S02001265,6
S02001237,S02001267,1
S02001237,S02001269,2
S02001237,S02001270,5
S02001237,S02001272,1
S02001237,S02001273,2
S02001237,S02001275,4
S02001237,S02001276,1
S02001237,S02001277,78
S02001237,S02001278,22
S02001237,S02001280,1
S02001237,S02001281,1
S02001237,S02001282,2
S02001237,S02001283,12
S02001237,S02001284,7
S02001237,S02001285,1
S02001237,S02001287,1
S02001237,S02001288,1
S02001237,S02001289,1
S02001237,S02001290,1
S02001237,S02001291,2
S02001237,S02001294,1
S02001237,S02001295,21
S02001237,S02001296,2
S02001237,S02001297,4
S02001237,S02001298,4
S02001237,S02001299,3
S02001237,S02001301,1
S02001237,S02001303,2
S02001237,S02001304,4
S02001237,S02001305,2
S02001237,S02001306,3
S02001237,S02001307,2
S02001237,S02001308,3
S02001237,S02001309,4
S02001237,S02001310,40
S02001237,S02001311,3
S02001237,S02001313,2
S02001237,S02001317,1
S02001237,S02001319,1
S02001237,S02001334,1
S02001237,S02001359,1
S02001237,S02001620,1
S02001237,S02001622,1
S02001237,S02002322,1
S02001238,England,15
S02001238,OD0000001,158
S02001238,OD0000002,34
S02001238,OD0000003,122
S02001238,OD0000004,24
S02001238,S02001236,7
S02001238,S02001237,6
S02001238,S02001238,59
S02001238,S02001239,29
S02001238,S02001240,5
S02001238,S02001241,1
S02001238,S02001242,7
S02001238,S02001243,60
S02001238,S02001244,6
S02001238,S02001245,59
S02001238,S02001246,6
S02001238,S02001247,87
S02001238,S02001248,3
S02001238,S02001249,166
S02001238,S02001250,50
S02001238,S02001251,25
S02001238,S02001252,2
S02001238,S02001254,14
S02001238,S02001255,2
S02001238,S02001256,200
S02001238,S02001257,10
S02001238,S02001258,6
S02001238,S02001259,22
S02001238,S02001260,1
S02001238,S02001261,45
S02001238,S02001262,9
S02001238,S02001263,8
S02001238,S02001264,13
S02001238,S02001265,4
S02001238,S02001266,1
S02001238,S02001267,1
S02001238,S02001268,2
S02001238,S02001269,3
S02001238,S02001270,6
S02001238,S02001271,1
S02001238,S02001273,1
S02001238,S02001274,1
S02001238,S02001275,5
S02001238,S02001277,141
S02001238,S02001278,33
S02001238,S02001279,1
S02001238,S02001281,2
S02001238,S02001282,8
S02001238,S02001283,18
S02001238,S02001284,21
S02001238,S02001286,2
S02001238,S02001289,1
S02001238,S02001290,3
S02001238,S02001291,2
S02001238,S02001292,1
S02001238,S02001294,1
S02001238,S02001295,16
S02001238,S02001296,3
S02001238,S02001297,1
S02001238,S02001298,3
S02001238,S02001299,1
S02001238,S02001301,1
S02001238,S02001303,2
S02001238,S02001304,3
S02001238,S02001305,1
S02001238,S02001306,3
S02001238,S02001307,2
S02001238,S02001308,6
S02001238,S02001309,4
S02001238,S02001310,53
S02001238,S02001311,2
S02001238,S02001312,2
S02001238,S02001315,3
S02001238,S02001326,1
S02001238,S02001328,1
S02001238,S02001334,2
S02001238,S02001336,1
S02001238,S02001656,1
S02001238,S02001683,1
S02001238,S02001685,1
S02001238,S02001703,1
S02001238,S02001936,1
S02001238,S02001978,1
S02001238,S02002063,1
S02001238,S02002324,1
S02001238,S02002448,2
S02001239,England,3
S02001239,OD0000001,85
S02001239,OD0000002,46
S02001239,OD0000003,150
S02001239,OD0000004,8
S02001239,S02001236,3
S02001239,S02001237,2
S02001239,S02001238,10
S02001239,S02001239,112
S02001239,S02001240,6
S02001239,S02001241,6
S02001239,S02001242,6
S02001239,S02001243,18
S02001239,S02001244,5
S02001239,S02001245,14
S02001239,S02001246,5
S02001239,S02001247,41
S02001239,S02001248,6
S02001239,S02001249,73
S02001239,S02001250,64
S02001239,S02001251,7
S02001239,S02001252,3
S02001239,S02001253,5
S02001239,S02001254,26
S02001239,S02001255,1
S02001239,S02001256,159
S02001239,S02001257,21
S02001239,S02001258,5
