SOA Code,SOA Name,HSCT,AA1998,AA2008,LGD1992NAME,WARD1992(1),WARD1992(2),URBAN_RURAL(2015),Number SAs,SQ Km
95AA01S1,Aldergrove 1,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,ALDERGROVE,,Rural,1,0.48
95AA01S2,Aldergrove 2,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,ALDERGROVE,,Mixed urban/rural,5,123.13
95AA01S3,Aldergrove 3,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,ALDERGROVE,,Mixed urban/rural,4,32.53
95AA02W1,Balloo,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,BALLOO,,Urban,6,5.27
95AA03W1,Ballycraigy,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,BALLYCRAIGY,,Urban,7,0.56
95AA04W1,Clady,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,CLADY,,Mixed urban/rural,7,80.18
95AA05W1,Cranfield,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,CRANFIELD,,Mixed urban/rural,6,55.17
95AA06S1,Crumlin 1 (Antrim LGD),Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,CRUMLIN (ANTRIM),,Mixed urban/rural,3,12.78
95AA06S2,Crumlin 2 (Antrim LGD),Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,CRUMLIN (ANTRIM),,Urban,5,1.89
95AA07W1,Drumanaway,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,DRUMANAWAY,,Mixed urban/rural,6,23.51
95AA08W1,Farranshane,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,FARRANSHANE,,Urban,6,4.02
95AA09W1,Fountain Hill,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,FOUNTAIN HILL,,Urban,7,0.95
95AA10W1,Greystone (Antrim LGD),Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,GREYSTONE (ANTRIM),,Urban,6,0.57
95AA11S1,Massereene 1,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,MASSEREENE,,Urban,4,1.95
95AA11S2,Massereene 2,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,MASSEREENE,,Urban,5,3.17
95AA12W1,Parkgate,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,PARKGATE,,Rural,6,65.09
95AA13S1,Randalstown 1,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,RANDALSTOWN,,Mixed urban/rural,3,21.17
95AA13S2,Randalstown 2,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,RANDALSTOWN,,Urban,4,1.92
95AA14W1,Shilvodan,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,SHILVODAN,,Rural,5,52.17
95AA15S1,Springfarm 1,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,SPRINGFARM,,Urban,4,1.85
95AA15S2,Springfarm 2,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,SPRINGFARM,,Urban,4,2.48
95AA16W1,Steeple,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,STEEPLE,,Urban,6,0.41
95AA17W1,Stiles,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,STILES,,Urban,7,0.53
95AA18W1,Templepatrick,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,TEMPLEPATRICK,,Rural,7,20.29
95AA19W1,Toome,Northern HSCT,SOUTH ANTRIM,SOUTH ANTRIM,ANTRIM,TOOME,,Rural,5,64.79
95BB01S1,Ballygowan 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,BALLYGOWAN,,Rural,4,14.23
95BB01S2,Ballygowan 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,BALLYGOWAN,,Rural,5,1.36
95BB02W1,Ballyrainey,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,BALLYRAINEY,,Mixed urban/rural,9,10.18
95BB03S1,Ballywalter 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,BALLYWALTER,,Rural,5,2.98
95BB03S2,Ballywalter 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,BALLYWALTER,,Rural,6,29.9
95BB04S1,Bradshaw's Brae 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,BRADSHAWS BRAE,,Urban,5,1.18
95BB04S2,Bradshaw's Brae 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,BRADSHAWS BRAE,,Mixed urban/rural,5,9.2
95BB05S1,Carrowdore 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,CARROWDORE,,Rural,3,24.82
95BB05S2,Carrowdore 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,CARROWDORE,,Rural,4,25.38
95BB06W1,Central (Ards LGD),South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,CENTRAL (ARDS),,Urban,6,2.3
95BB07S1,Comber East 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,COMBER EAST,,Urban,6,0.88
95BB07S2,Comber East 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,COMBER EAST,,Urban,4,3.6
