"data",".variable","median","lower","upper"
"BBC Total (UK)","tau",1.05860917838048,1.00417762357528,1.11210503717184
"BBC Total (UK)","rho",22.999795842233,22.5770499096159,23.43881569814
"BBC Total (UK)","delta",-0.360521179942835,-0.406973490539504,-0.315403604813936
"BBC Total (UK)","phi",0.737012184674688,0.687347302724793,0.79276098137175
"BBC Under 18 (UK)","tau",0.827907075738306,0.658626179460643,0.996115246897718
"BBC Under 18 (UK)","rho",11.8589357576393,11.1135281698031,12.6459763871894
"BBC Under 18 (UK)","delta",-0.515699644754061,-0.646369812451061,-0.378738397068598
"BBC Under 18 (UK)","phi",3.90221717096016,2.38748904476308,4.93163619463432
"BBC Education (UK)","tau",1.17116954295362,1.03849610473788,1.30403847758723
"BBC Education (UK)","rho",19.9929649254578,18.8306254581277,21.2272934728955
"BBC Education (UK)","delta",-0.276038878403824,-0.403199381123662,-0.144024007677373
"BBC Education (UK)","phi",1.36961349116425,0.961958103564041,2.03757506353294
"BBC 18-30 (UK)","tau",1.07897761809869,0.998894340947155,1.1585885802023
"BBC 18-30 (UK)","rho",18.8615983425425,18.2437982586233,19.4991343396152
"BBC 18-30 (UK)","delta",-0.337610702632325,-0.410989641476843,-0.262061926815835
"BBC 18-30 (UK)","phi",1.35493963148015,1.14902660200718,1.62759051918184
"BBC Employed (UK)","tau",1.05794942127409,1.00310618380843,1.11249707913539
"BBC Employed (UK)","rho",21.9752320238109,21.5213993176948,22.4169760501368
"BBC Employed (UK)","delta",-0.359140257389664,-0.406764806986321,-0.312214218114253
"BBC Employed (UK)","phi",0.898726780932757,0.828743908777803,0.978578574451479
"BBC 30-60 (UK)","tau",1.00455834431851,0.948416888618968,1.05945211013828
"BBC 30-60 (UK)","rho",21.9164710461022,21.4562018626044,22.398045339342
"BBC 30-60 (UK)","delta",-0.351503764302952,-0.401876516627332,-0.302524798367565
"BBC 30-60 (UK)","phi",0.953076840063175,0.870932993184053,1.04559098133336
"BBC NEET (UK)","tau",0.636312678681028,0.530284215521936,0.743998515633597
"BBC NEET (UK)","rho",20.6427966749368,19.7534077660581,21.6257184485756
"BBC NEET (UK)","delta",-0.492770010028839,-0.603688914115064,-0.381769415108885
"BBC NEET (UK)","phi",1.46735113960633,1.07755909763448,2.09830359791295
"BBC 60-100 (UK)","tau",0.663483381685467,0.558826180701308,0.76953516907195
"BBC 60-100 (UK)","rho",20.9351793603419,19.9421015038091,22.0185785041847
"BBC 60-100 (UK)","delta",-0.492125634408633,-0.602282844714779,-0.379361577887412
"BBC 60-100 (UK)","phi",1.90406466151156,1.34219313986041,3.11859556836378
