"data",".variable","median","lower","upper"
"BBC Total (UK)","tau",1.05860917838048,1.00417762357528,1.11210503717184
"BBC Total (UK)","rho",22.999795842233,22.5770499096159,23.43881569814
"BBC Total (UK)","delta",-0.360521179942835,-0.406973490539504,-0.315403604813936
"BBC Total (UK)","phi",0.737012184674688,0.687347302724793,0.79276098137175
"Census (E)","tau",1.54949051023963,1.53201909251836,1.56747855750087
"Census (E)","rho",54.4771802071609,54.2456016763992,54.7139136785226
"Census (E)","delta",-0.163722960589211,-0.18303027763819,-0.143698676840806
"Census (E)","phi",0.385834681034934,0.382506179673439,0.389322490089025
"BBC Total (E)","tau",0.996304177070495,0.937905104810661,1.05145943061351
"BBC Total (E)","rho",20.7652334050191,20.3697125351847,21.1794006519854
"BBC Total (E)","delta",-0.329284255156066,-0.376396849108764,-0.280569022276586
"BBC Total (E)","phi",0.778522516191338,0.723441057937886,0.837458327475775
"Census (S)","tau",1.61160966842435,1.50944005638728,1.70226391725706
"Census (S)","rho",54.967312637634,52.2955957758121,58.0073068030893
"Census (S)","delta",-0.866224821753959,-0.9221264469605,-0.809088781534639
"Census (S)","phi",0.468241784610948,0.431415494138543,0.507319996376084
"BBC Total (S)","tau",1.28723058865318,1.124406523088,1.44526881008925
"BBC Total (S)","rho",20.9993317706017,18.9721529334831,23.5094681709069
"BBC Total (S)","delta",-0.50220361598225,-0.672202120593318,-0.312764837900972
"BBC Total (S)","phi",1.77855753156276,1.20832581084829,2.73196931799073
"Census (W)","tau",1.52936848488274,1.35616844861117,1.6876606342241
"Census (W)","rho",24.1674777967109,23.5442112587518,24.8407052761155
"Census (W)","delta",-0.410515625487276,-0.49483331498023,-0.326243757052601
"Census (W)","phi",1.17950724768265,1.03205065425168,1.3380056887303
"BBC Total (W)","tau",1.29122390963994,0.999963936865377,1.56792021395498
"BBC Total (W)","rho",20.2156717324065,17.3763121708501,23.8998625035887
"BBC Total (W)","delta",-0.560456794513323,-0.773639047685951,-0.32715756130623
"BBC Total (W)","phi",3.06395156015258,1.7978155716977,4.83602912432111
"Census (NI)","tau",0.463037407297853,0.135020269072399,0.787059282133231
"Census (NI)","rho",18.186890959161,17.2352559430025,19.2737549391563
"Census (NI)","delta",-0.570772089548546,-0.70007639877838,-0.444525281317476
"Census (NI)","phi",3.7188906320016,2.84769325188234,4.72172991714026
"BBC Total (NI)","tau",1.80983077866572,1.11701414000615,2.46891695647562
"BBC Total (NI)","rho",14.681864374987,11.5334671392491,19.4267722575328
"BBC Total (NI)","delta",0.039323490015454,-0.313334630560486,0.417732660715293
"BBC Total (NI)","phi",4.14532616600181,2.28786034826246,4.96359352089812
