"data",".variable","median","lower","upper"
"BBC Total (UK)","tau",0.970450722501557,0.926327073119074,1.01581495769548
"BBC Total (UK)","rho",2.31932138434576,2.08962251320188,2.5595909060387
"BBC Total (UK)","alpha",3.28156868855738,3.19949716499846,3.363629015635
"BBC Total (UK)","delta",-0.306356492444039,-0.333245374981697,-0.27907421478955
"BBC Total (UK)","phi",2.00885755082718,1.82984941735837,2.2159141239458
"BBC Under 18 (UK)","tau",0.826703168693574,0.649824108380401,1.00263850446149
"BBC Under 18 (UK)","rho",1.98234804269526,1.26921980380353,2.79150786705344
"BBC Under 18 (UK)","alpha",4.06062092642623,3.62543792643341,4.62640209326885
"BBC Under 18 (UK)","delta",-0.422314142181412,-0.538933409691936,-0.312455382132946
"BBC Under 18 (UK)","phi",4.27845206725823,2.73688355337546,4.97023590016896
"BBC Education (UK)","tau",1.23416103550546,1.09400165418835,1.36745572117354
"BBC Education (UK)","rho",1.93128463926928,1.21856183554952,2.68408043025046
"BBC Education (UK)","alpha",3.11443556271298,2.86959174856728,3.38639089946006
"BBC Education (UK)","delta",-0.256362688308779,-0.354005031880309,-0.160467309581925
"BBC Education (UK)","phi",3.47716155718658,2.14744134114758,4.89047437023578
"BBC 18-30 (UK)","tau",1.06783017884595,0.988977048555394,1.14463452718689
"BBC 18-30 (UK)","rho",2.47710047013183,2.02812813009065,2.93666617434523
"BBC 18-30 (UK)","alpha",3.36641155319455,3.19827757196646,3.55326138587125
"BBC 18-30 (UK)","delta",-0.298822979941078,-0.352478137629401,-0.246513956354881
"BBC 18-30 (UK)","phi",3.01588799551158,2.39595593167926,3.92374567092546
"BBC Employed (UK)","tau",0.998532405080848,0.951578579677018,1.04613226892918
"BBC Employed (UK)","rho",2.65002412474546,2.38367316921225,2.93913790943377
"BBC Employed (UK)","alpha",3.36473584653956,3.27149222843365,3.46365384802981
"BBC Employed (UK)","delta",-0.299691892662052,-0.329470639960201,-0.268567258345383
"BBC Employed (UK)","phi",2.18853387482142,1.96859627861733,2.43009085872354
"BBC 30-60 (UK)","tau",0.982571824145259,0.932493655186554,1.03315616832622
"BBC 30-60 (UK)","rho",2.6265846516515,2.33977319590311,2.92438273275131
"BBC 30-60 (UK)","alpha",3.34629216222124,3.24612774695153,3.44987976796769
"BBC 30-60 (UK)","delta",-0.295521600485938,-0.325423924489058,-0.264766467273427
"BBC 30-60 (UK)","phi",2.33601253161767,2.07947800293873,2.65530536114745
"BBC NEET (UK)","tau",0.663683939512856,0.554513228820883,0.777597593517843
"BBC NEET (UK)","rho",1.6766336393742,1.16953684536819,2.2828234529529
"BBC NEET (UK)","alpha",3.06794594930375,2.88752139916946,3.26989593960995
"BBC NEET (UK)","delta",-0.433523898530252,-0.508680541311166,-0.359381104837404
"BBC NEET (UK)","phi",3.95000336830329,2.58005228030439,4.94506041543011
"BBC 60-100 (UK)","tau",0.696075414780462,0.579040287739241,0.818124497277004
"BBC 60-100 (UK)","rho",2.20065037142086,1.58678988485543,2.91403845799238
"BBC 60-100 (UK)","alpha",3.10342691043978,2.90606575594277,3.34134793724448
"BBC 60-100 (UK)","delta",-0.423998594546526,-0.507685492787126,-0.337273439252269
"BBC 60-100 (UK)","phi",3.75411691064932,2.42452844423744,4.92054156565844
