"data",".variable","median","lower","upper"
"BBC Total (UK)","tau",0.970450722501557,0.926327073119074,1.01581495769548
"BBC Total (UK)","rho",2.31932138434576,2.08962251320188,2.5595909060387
"BBC Total (UK)","alpha",3.28156868855738,3.19949716499846,3.363629015635
"BBC Total (UK)","delta",-0.306356492444039,-0.333245374981697,-0.27907421478955
"BBC Total (UK)","phi",2.00885755082718,1.82984941735837,2.2159141239458
"Census (E)","tau",1.02237961395764,1.00451434744639,1.03993129168998
"Census (E)","rho",1.10313598219464,1.03347857962236,1.1744638000378
"Census (E)","alpha",2.59841347468479,2.58634239619721,2.61055960061867
"Census (E)","delta",-0.1524707652309,-0.159216880979671,-0.14576267698826
"Census (E)","phi",0.706729236599952,0.699651025738582,0.71384058363803
"BBC Total (E)","tau",0.914005665987322,0.863493104904779,0.96266167757443
"BBC Total (E)","rho",2.40620431079364,2.15542985540634,2.67537332059143
"BBC Total (E)","alpha",3.33079671717066,3.24055255857377,3.42771101790608
"BBC Total (E)","delta",-0.292773633440631,-0.321905181298121,-0.264430542157738
"BBC Total (E)","phi",1.80085567028367,1.64698343375502,1.96714902607598
"Census (S)","tau",1.36826185599715,1.27585739292301,1.4616306146737
"Census (S)","rho",3.51407449416219,2.25136574067004,4.89428539783257
"Census (S)","alpha",3.45066483989299,3.21033559878959,3.71334990847193
"Census (S)","delta",-0.67873015378807,-0.720363899254894,-0.637537692180803
"Census (S)","phi",0.843938041954423,0.770617670068894,0.922443387546207
"BBC Total (S)","tau",1.26670777944622,1.10241196525242,1.4233000581286
"BBC Total (S)","rho",9.21217599668256,5.37545543564527,13.2150934566261
"BBC Total (S)","alpha",5.24698605573683,3.62375652939525,8.3532508062271
"BBC Total (S)","delta",-0.441128937800709,-0.590047957082248,-0.288160299141752
"BBC Total (S)","phi",1.99495375681788,1.33883977382065,3.10925507105264
"Census (W)","tau",1.40531880835154,1.26018088664221,1.55072681044492
"Census (W)","rho",4.34170303037579,2.88853012049378,6.00450532815717
"Census (W)","alpha",4.10903863370979,3.70328485690684,4.64187501340238
"Census (W)","delta",-0.428892995068797,-0.476040992773963,-0.380881776608082
"Census (W)","phi",1.70667655088843,1.49189798005963,1.94626555041555
"BBC Total (W)","tau",1.2764000760974,1.00086771673291,1.56384032424381
"BBC Total (W)","rho",6.16537143639712,1.91688577110604,11.622686941764
"BBC Total (W)","alpha",3.91720843712951,2.71168879366365,6.98558396454702
"BBC Total (W)","delta",-0.563322910896379,-0.747785124680204,-0.376830911907842
"BBC Total (W)","phi",3.86393719548574,2.32133036253789,4.93537486367065
"Census (NI)","tau",0.453217137161029,0.151160254556061,0.73568363179961
"Census (NI)","rho",10.350315418332,7.77427293782983,12.2392408094087
"Census (NI)","alpha",7.86687836317052,5.63429348777276,9.88103277114054
"Census (NI)","delta",-0.554167715455216,-0.659686918803095,-0.446428947148718
"Census (NI)","phi",4.01691099072498,3.08681717235098,4.87959503286166
"BBC Total (NI)","tau",1.70858203521169,1.02027998561627,2.41600072899236
"BBC Total (NI)","rho",7.91122689221918,2.56409189514131,13.4644127499063
"BBC Total (NI)","alpha",5.66790095630113,2.63555091139267,9.69635370160982
"BBC Total (NI)","delta",0.0300942470953469,-0.300337700260795,0.405971792088757
"BBC Total (NI)","phi",4.28007712932019,2.5871707332597,4.96671235571462
