"data",".variable","median","lower","upper"
"BBC Total (UK)","tau",0.929513960813417,0.88497971230617,0.976093942820188
"BBC Total (UK)","rho",2.5912107272574,2.56560811146665,2.6172551119229
"BBC Total (UK)","delta",-0.254600324819875,-0.277757326195558,-0.231019567284157
"BBC Total (UK)","phi",1.70971237392997,1.56959644841618,1.86457518952111
"BBC Under 18 (UK)","tau",0.813008894735263,0.628193609514783,1.00180497706365
"BBC Under 18 (UK)","rho",3.05194159716567,2.92078241964205,3.19019060374013
"BBC Under 18 (UK)","delta",-0.367130433634428,-0.473709019470688,-0.268222812261343
"BBC Under 18 (UK)","phi",3.84769699217364,2.33759642974586,4.92124797876438
"BBC Education (UK)","tau",1.23147310906465,1.09047826261295,1.36991796467872
"BBC Education (UK)","rho",2.53279062313931,2.44592597625412,2.6240425075661
"BBC Education (UK)","delta",-0.247738200310625,-0.330296317181875,-0.157989842631118
"BBC Education (UK)","phi",2.63726248956123,1.72352878118217,4.41875840678939
"BBC 18-30 (UK)","tau",1.04154606926069,0.965633498878546,1.12052648241649
"BBC 18-30 (UK)","rho",2.55557309506575,2.50384166284888,2.60441089696717
"BBC 18-30 (UK)","delta",-0.251955469697156,-0.30053280656099,-0.204030676449928
"BBC 18-30 (UK)","phi",2.33003371222983,1.91209508422805,2.88388990256502
"BBC Employed (UK)","tau",0.954364284612316,0.907629438877347,1.00242919287453
"BBC Employed (UK)","rho",2.57152987529456,2.54366379307197,2.59956395965977
"BBC Employed (UK)","delta",-0.24215993166926,-0.267631454327011,-0.217004229051249
"BBC Employed (UK)","phi",1.81014449102694,1.64284385055416,1.9957272728467
"BBC 30-60 (UK)","tau",0.944547885307168,0.89315526915497,0.995705747822554
"BBC 30-60 (UK)","rho",2.57188645130469,2.54111690212363,2.6023869232341
"BBC 30-60 (UK)","delta",-0.238268028177144,-0.265021865371624,-0.21043262631393
"BBC 30-60 (UK)","phi",1.89980807494127,1.70803006460587,2.12352314483094
"BBC NEET (UK)","tau",0.659629680864736,0.544957810349339,0.769317989819044
"BBC NEET (UK)","rho",2.57559844286524,2.50191847556879,2.64922001569239
"BBC NEET (UK)","delta",-0.395694223278015,-0.464872397597653,-0.323604081594477
"BBC NEET (UK)","phi",3.22085032774809,2.24794143508312,4.71250436442273
"BBC 60-100 (UK)","tau",0.691354490054497,0.575381340613669,0.806220664819377
"BBC 60-100 (UK)","rho",2.51365533013281,2.44054057312089,2.58949280219526
"BBC 60-100 (UK)","delta",-0.380095854929632,-0.453771806027757,-0.306247997898549
"BBC 60-100 (UK)","phi",2.93309388408604,1.97074407226787,4.5282531804477
