"data",".variable","median","lower","upper"
"BBC Total (UK)","tau",0.929513960813417,0.88497971230617,0.976093942820188
"BBC Total (UK)","rho",2.5912107272574,2.56560811146665,2.6172551119229
"BBC Total (UK)","delta",-0.254600324819875,-0.277757326195558,-0.231019567284157
"BBC Total (UK)","phi",1.70971237392997,1.56959644841618,1.86457518952111
"Census (E)","tau",1.04213465400299,1.02416450607296,1.06008850795064
"Census (E)","rho",2.40865247069236,2.40386339239615,2.41346671786169
"Census (E)","delta",-0.162388839789556,-0.16852621646226,-0.156292606221393
"Census (E)","phi",0.694637919188191,0.687820833572373,0.701677448808597
"BBC Total (E)","tau",0.868913426817479,0.820496487692235,0.918623326844727
"BBC Total (E)","rho",2.57374255887542,2.54818851570046,2.60103042063787
"BBC Total (E)","delta",-0.245722630586169,-0.270264710094094,-0.220515766311759
"BBC Total (E)","phi",1.54901103609991,1.42412061591895,1.6888677239054
"Census (S)","tau",1.28404577859577,1.19653544611074,1.36814333520627
"Census (S)","rho",2.82849266776067,2.74424956678739,2.90423509097297
"Census (S)","delta",-0.627348069670016,-0.664768707425203,-0.589779732616273
"Census (S)","phi",0.812508736176377,0.744594457183734,0.887057141118832
"BBC Total (S)","tau",1.22389742055515,1.05585808508929,1.38526588500907
"BBC Total (S)","rho",2.43033517341882,2.2363513371804,2.63283036746435
"BBC Total (S)","delta",-0.372991407385515,-0.50913938382524,-0.237756334554408
"BBC Total (S)","phi",1.59190504684723,1.09747467511813,2.37347308496273
"Census (W)","tau",1.28926682772805,1.14764008237628,1.42897376496872
"Census (W)","rho",3.02076970656708,2.95198851699819,3.0889055816696
"Census (W)","delta",-0.434564821919818,-0.475499543032112,-0.392516049137163
"Census (W)","phi",1.5417240017256,1.35195046069635,1.76139908977635
"BBC Total (W)","tau",1.27298169323592,0.99411267997929,1.54769543887367
"BBC Total (W)","rho",2.40048544500451,2.15734439825508,2.66395231599211
"BBC Total (W)","delta",-0.560033346532847,-0.725376367681386,-0.392021532301972
"BBC Total (W)","phi",3.66893725500927,2.20915757881259,4.91735338201801
"Census (NI)","tau",0.359592895796627,0.0679035976618796,0.67303437971093
"Census (NI)","rho",2.61586192696338,2.4192404367728,2.79503942844481
"Census (NI)","delta",-0.534388299550323,-0.66204048071727,-0.408109872330347
"Census (NI)","phi",2.5114209589582,1.93370514107711,3.21615733243514
"BBC Total (NI)","tau",1.61891803640753,0.897581294079652,2.29008736165521
"BBC Total (NI)","rho",2.24951793759588,1.71071898227514,2.79382766445726
"BBC Total (NI)","delta",0.0691373710725846,-0.265915136989949,0.453863915131847
"BBC Total (NI)","phi",4.20850242692482,2.50552261914075,4.9651806154356
