"data",".variable","median","lower","upper"
"BBC Total (UK)","alpha",0.514105701779999,0.500528123032181,0.527998424292764
"BBC Total (UK)","phi",1.40334423210006,1.29694491428916,1.51795440233267
"Census (E)","alpha",0.561084781900678,0.558943364811379,0.563237870115635
"Census (E)","phi",0.918322580608986,0.908784298533524,0.927891828030066
"BBC Total (E)","alpha",0.492592018530861,0.478591930099039,0.507057073036749
"BBC Total (E)","phi",1.36373101351562,1.25960429242723,1.47651429965052
"Census (S)","alpha",0.47724276994397,0.425114931564737,0.527756460948269
"Census (S)","phi",0.53481634528294,0.491724526049941,0.58170187133799
"BBC Total (S)","alpha",0.458692267896733,0.344437789772461,0.57302881081684
"BBC Total (S)","phi",1.00409100487563,0.737419376840969,1.37447892377083
"Census (W)","alpha",0.78881603756431,0.705180644836651,0.867674581881777
"Census (W)","phi",0.533331805675376,0.474302884143669,0.594957831284814
"BBC Total (W)","alpha",0.556218851380199,0.391037267105545,0.716268890642968
"BBC Total (W)","phi",1.25803095688357,0.838180172109747,1.90890762040195
"Census (NI)","alpha",0.429679427687962,0.261898511426376,0.592394729681821
"Census (NI)","phi",1.39734383029894,1.0992208049669,1.75464703074223
"BBC Total (NI)","alpha",0.769737076466473,0.457834768188055,0.983416206373391
"BBC Total (NI)","phi",4.08117430933037,2.27465887006698,4.95950582185678
