"data",".variable","median","lower","upper"
"BBC Total (UK)","log10(gamma)",-6.63083893614187,-6.6402497573224,-6.62164573538335
"BBC Total (UK)","phi",0.370178683650523,0.34964665034911,0.391126559481482
"Census (E)","log10(gamma)",-6.88506511731882,-6.88649034301759,-6.88367995299751
"Census (E)","phi",0.42391180220905,0.420356869202878,0.427598941040742
"BBC Total (E)","log10(gamma)",-6.60301673736461,-6.61255358448677,-6.59331086685897
"BBC Total (E)","phi",0.406115186369072,0.383295360448959,0.431164021159965
"Census (S)","log10(gamma)",-6.01867102931981,-6.03771725853406,-6.00198797939636
"Census (S)","phi",0.56140157047996,0.514844520377786,0.610730993392453
"BBC Total (S)","log10(gamma)",-5.94928673348511,-5.99334398839807,-5.90723766616316
"BBC Total (S)","phi",1.06077342833445,0.7764631947914,1.46339349730432
"Census (W)","log10(gamma)",-5.69938278745975,-5.72063392620823,-5.68051826452403
"Census (W)","phi",0.587913102734941,0.522127869709969,0.659714912218707
"BBC Total (W)","log10(gamma)",-5.72457354641577,-5.78231097716044,-5.67177146417799
"BBC Total (W)","phi",1.47536146216062,0.978729117865494,2.39118404620992
"Census (NI)","log10(gamma)",-5.66197039873147,-5.71154631809848,-5.62227353942186
"Census (NI)","phi",1.77675419400771,1.37873063512903,2.25202446618728
"BBC Total (NI)","log10(gamma)",-5.51376876908029,-5.60621209256696,-5.42836618250356
"BBC Total (NI)","phi",4.22789842294168,2.50699229173433,4.96008958078421
