"data",".variable","median","lower","upper"
"BBC Total (UK)","tau",0.00689750835053921,0.00672690832535318,0.00705607257747051
"BBC Total (UK)","phi",0.0360454495937973,0.0346748439684173,0.0374592034079602
"BBC Under 18 (UK)","tau",0.00712228881628801,0.00678470159061283,0.00744628291904115
"BBC Under 18 (UK)","phi",0.345203469101073,0.225312751532222,0.544868229244666
"BBC Education (UK)","tau",0.00705025992760516,0.00671838615638581,0.00736806599260905
"BBC Education (UK)","phi",0.101256258064081,0.0771442959987601,0.134884020959533
"BBC 18-30 (UK)","tau",0.00699937427460651,0.00676078991859949,0.00722325605899873
"BBC 18-30 (UK)","phi",0.0441273748916574,0.0399614824300673,0.0485911014678647
"BBC Employed (UK)","tau",0.00688396580787265,0.00669739324699464,0.00705181045890383
"BBC Employed (UK)","phi",0.0369292129927101,0.03536731395313,0.038662479144557
"BBC 30-60 (UK)","tau",0.00689082313671779,0.00670766609268861,0.00705747753650924
"BBC 30-60 (UK)","phi",0.0371907774826216,0.0353703196771167,0.0390648745338433
"BBC NEET (UK)","tau",0.00662322141020089,0.00627463598732268,0.00692087174144165
"BBC NEET (UK)","phi",0.0751461610738305,0.0618768724075552,0.0913545182766027
"BBC 60-100 (UK)","tau",0.00650641670600544,0.00610679382204372,0.00684911005071173
"BBC 60-100 (UK)","phi",0.0840030120552795,0.0684654058920915,0.105149279267674
