"data",".variable","median","lower","upper"
"BBC Total (UK)","tau",0.00689750835053921,0.00672690832535318,0.00705607257747051
"BBC Total (UK)","phi",0.0360454495937973,0.0346748439684173,0.0374592034079602
"Census (E)","tau",0.00680972224411414,0.00674643045140294,0.00686981574503895
"Census (E)","phi",0.199665750087832,0.198127760785018,0.20118533168858
"BBC Total (E)","tau",0.00655130653241326,0.00635126271583163,0.00672662020569642
"BBC Total (E)","phi",0.0455252958031732,0.0436561601882993,0.0474728517983913
"Census (S)","tau",0.00357792139508295,0.00299121477566748,0.00403745930915464
"Census (S)","phi",0.280469944119565,0.259975992915208,0.302116333931309
"BBC Total (S)","tau",0.00352183636557207,0.00262939211272304,0.00420225296608599
"BBC Total (S)","phi",0.192427077638423,0.154855296557494,0.239860507314259
"Census (W)","tau",0.00281962470093639,0.00200415924366526,0.00347087043552082
"Census (W)","phi",0.297894152699998,0.268170300680125,0.330786758959213
"BBC Total (W)","tau",0.002630936883466,0.00157900364731163,0.00345806524587203
"BBC Total (W)","phi",0.278851734297633,0.210491667716373,0.367622004785951
"Census (NI)","tau",0.00194427321569751,0.00116045156704224,0.00265283010709638
"Census (NI)","phi",0.850525260691362,0.671009448833345,1.06318506770782
"BBC Total (NI)","tau",0.00261515917702915,0.00163100814306197,0.0034464043614629
"BBC Total (NI)","phi",0.848588387578208,0.477542110605272,1.643809193748
